Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	2300.0	66.109	0.015127	4.5884	5.2475	21.524	40.248	78.259	2736.4	-0.0014709	9.4327e-05	0.14115	liquid
250.07	2300.0	66.095	0.015130	4.5935	5.2528	21.545	40.247	78.268	2735.2	-0.0014670	9.4260e-05	0.14109	liquid
250.13	2300.0	66.082	0.015133	4.5986	5.2580	21.566	40.246	78.278	2734.0	-0.0014630	9.4193e-05	0.14102	liquid
250.20	2300.0	66.068	0.015136	4.6037	5.2632	21.587	40.245	78.287	2732.8	-0.0014591	9.4126e-05	0.14095	liquid
250.27	2300.0	66.054	0.015139	4.6088	5.2684	21.607	40.244	78.297	2731.6	-0.0014552	9.4059e-05	0.14088	liquid
250.33	2300.0	66.040	0.015142	4.6139	5.2736	21.628	40.243	78.307	2730.4	-0.0014512	9.3992e-05	0.14082	liquid
250.40	2300.0	66.027	0.015145	4.6189	5.2788	21.649	40.241	78.316	2729.2	-0.0014473	9.3925e-05	0.14075	liquid
250.47	2300.0	66.013	0.015149	4.6240	5.2841	21.670	40.240	78.326	2728.0	-0.0014434	9.3858e-05	0.14068	liquid
250.53	2300.0	65.999	0.015152	4.6291	5.2893	21.691	40.239	78.336	2726.8	-0.0014394	9.3791e-05	0.14061	liquid
250.60	2300.0	65.986	0.015155	4.6342	5.2945	21.712	40.238	78.346	2725.6	-0.0014354	9.3724e-05	0.14055	liquid
250.67	2300.0	65.972	0.015158	4.6393	5.2997	21.732	40.237	78.355	2724.4	-0.0014315	9.3658e-05	0.14048	liquid
250.73	2300.0	65.958	0.015161	4.6444	5.3050	21.753	40.236	78.365	2723.2	-0.0014275	9.3591e-05	0.14041	liquid
250.80	2300.0	65.944	0.015164	4.6495	5.3102	21.774	40.235	78.375	2722.0	-0.0014235	9.3525e-05	0.14034	liquid
250.87	2300.0	65.931	0.015167	4.6545	5.3154	21.795	40.234	78.385	2720.8	-0.0014195	9.3458e-05	0.14027	liquid
250.93	2300.0	65.917	0.015171	4.6596	5.3206	21.816	40.233	78.394	2719.6	-0.0014155	9.3392e-05	0.14021	liquid
251.00	2300.0	65.903	0.015174	4.6647	5.3259	21.837	40.232	78.404	2718.4	-0.0014115	9.3325e-05	0.14014	liquid
251.07	2300.0	65.889	0.015177	4.6698	5.3311	21.857	40.231	78.414	2717.2	-0.0014075	9.3259e-05	0.14007	liquid
251.13	2300.0	65.876	0.015180	4.6749	5.3363	21.878	40.229	78.424	2716.0	-0.0014035	9.3193e-05	0.14000	liquid
251.20	2300.0	65.862	0.015183	4.6800	5.3415	21.899	40.228	78.434	2714.8	-0.0013995	9.3126e-05	0.13994	liquid
251.27	2300.0	65.848	0.015186	4.6851	5.3468	21.920	40.227	78.444	2713.6	-0.0013955	9.3060e-05	0.13987	liquid
251.33	2300.0	65.834	0.015190	4.6902	5.3520	21.941	40.226	78.453	2712.4	-0.0013915	9.2994e-05	0.13980	liquid
251.40	2300.0	65.820	0.015193	4.6953	5.3572	21.962	40.225	78.463	2711.2	-0.0013875	9.2928e-05	0.13973	liquid
251.47	2300.0	65.807	0.015196	4.7004	5.3625	21.982	40.224	78.473	2710.0	-0.0013834	9.2862e-05	0.13967	liquid
251.53	2300.0	65.793	0.015199	4.7054	5.3677	22.003	40.223	78.483	2708.8	-0.0013794	9.2796e-05	0.13960	liquid
251.60	2300.0	65.779	0.015202	4.7105	5.3729	22.024	40.222	78.493	2707.6	-0.0013753	9.2731e-05	0.13953	liquid
251.67	2300.0	65.765	0.015206	4.7156	5.3782	22.045	40.221	78.503	2706.4	-0.0013713	9.2665e-05	0.13946	liquid
251.73	2300.0	65.751	0.015209	4.7207	5.3834	22.066	40.220	78.513	2705.2	-0.0013672	9.2599e-05	0.13940	liquid
251.80	2300.0	65.738	0.015212	4.7258	5.3886	22.086	40.219	78.523	2704.0	-0.0013631	9.2534e-05	0.13933	liquid
251.87	2300.0	65.724	0.015215	4.7309	5.3939	22.107	40.218	78.533	2702.8	-0.0013591	9.2468e-05	0.13926	liquid
251.93	2300.0	65.710	0.015218	4.7360	5.3991	22.128	40.217	78.543	2701.6	-0.0013550	9.2402e-05	0.13919	liquid
252.00	2300.0	65.696	0.015222	4.7411	5.4043	22.149	40.216	78.553	2700.4	-0.0013509	9.2337e-05	0.13913	liquid
252.07	2300.0	65.682	0.015225	4.7462	5.4096	22.169	40.215	78.563	2699.2	-0.0013468	9.2272e-05	0.13906	liquid
252.13	2300.0	65.668	0.015228	4.7513	5.4148	22.190	40.213	78.573	2698.0	-0.0013427	9.2206e-05	0.13899	liquid
252.20	2300.0	65.655	0.015231	4.7564	5.4201	22.211	40.212	78.583	2696.8	-0.0013386	9.2141e-05	0.13892	liquid
252.27	2300.0	65.641	0.015234	4.7615	5.4253	22.232	40.211	78.593	2695.6	-0.0013345	9.2076e-05	0.13886	liquid
252.33	2300.0	65.627	0.015238	4.7666	5.4305	22.253	40.210	78.603	2694.4	-0.0013304	9.2011e-05	0.13879	liquid
252.40	2300.0	65.613	0.015241	4.7717	5.4358	22.273	40.209	78.614	2693.2	-0.0013263	9.1946e-05	0.13872	liquid
252.47	2300.0	65.599	0.015244	4.7768	5.4410	22.294	40.208	78.624	2692.0	-0.0013222	9.1880e-05	0.13865	liquid
252.53	2300.0	65.585	0.015247	4.7819	5.4463	22.315	40.207	78.634	2690.8	-0.0013180	9.1815e-05	0.13859	liquid
252.60	2300.0	65.572	0.015251	4.7870	5.4515	22.336	40.206	78.644	2689.6	-0.0013139	9.1751e-05	0.13852	liquid
252.67	2300.0	65.558	0.015254	4.7921	5.4567	22.356	40.205	78.654	2688.4	-0.0013097	9.1686e-05	0.13845	liquid
