Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	2500.0	66.346	0.015072	4.5469	5.2608	21.348	40.274	77.788	2767.6	-0.0015824	9.5386e-05	0.14236	liquid
250.07	2500.0	66.333	0.015076	4.5520	5.2660	21.369	40.273	77.796	2766.4	-0.0015787	9.5319e-05	0.14229	liquid
250.13	2500.0	66.319	0.015079	4.5570	5.2711	21.390	40.272	77.805	2765.2	-0.0015750	9.5252e-05	0.14222	liquid
250.20	2500.0	66.306	0.015082	4.5621	5.2763	21.410	40.271	77.814	2764.0	-0.0015713	9.5185e-05	0.14216	liquid
250.27	2500.0	66.292	0.015085	4.5671	5.2815	21.431	40.270	77.823	2762.8	-0.0015676	9.5118e-05	0.14209	liquid
250.33	2500.0	66.279	0.015088	4.5721	5.2867	21.452	40.269	77.832	2761.7	-0.0015639	9.5051e-05	0.14202	liquid
250.40	2500.0	66.265	0.015091	4.5772	5.2919	21.472	40.267	77.841	2760.5	-0.0015602	9.4984e-05	0.14196	liquid
250.47	2500.0	66.252	0.015094	4.5822	5.2971	21.493	40.266	77.850	2759.3	-0.0015564	9.4917e-05	0.14189	liquid
250.53	2500.0	66.238	0.015097	4.5873	5.3023	21.514	40.265	77.859	2758.1	-0.0015527	9.4850e-05	0.14182	liquid
250.60	2500.0	66.225	0.015100	4.5923	5.3075	21.535	40.264	77.867	2756.9	-0.0015490	9.4783e-05	0.14175	liquid
250.67	2500.0	66.211	0.015103	4.5974	5.3127	21.555	40.263	77.876	2755.8	-0.0015452	9.4716e-05	0.14169	liquid
250.73	2500.0	66.198	0.015106	4.6024	5.3179	21.576	40.262	77.885	2754.6	-0.0015415	9.4650e-05	0.14162	liquid
250.80	2500.0	66.184	0.015109	4.6075	5.3230	21.597	40.261	77.894	2753.4	-0.0015377	9.4583e-05	0.14155	liquid
250.87	2500.0	66.171	0.015112	4.6125	5.3282	21.617	40.260	77.903	2752.2	-0.0015340	9.4516e-05	0.14149	liquid
250.93	2500.0	66.157	0.015115	4.6176	5.3334	21.638	40.259	77.912	2751.0	-0.0015302	9.4450e-05	0.14142	liquid
251.00	2500.0	66.144	0.015119	4.6226	5.3386	21.659	40.257	77.921	2749.9	-0.0015264	9.4384e-05	0.14135	liquid
251.07	2500.0	66.130	0.015122	4.6276	5.3438	21.680	40.256	77.930	2748.7	-0.0015226	9.4317e-05	0.14129	liquid
251.13	2500.0	66.117	0.015125	4.6327	5.3490	21.700	40.255	77.939	2747.5	-0.0015189	9.4251e-05	0.14122	liquid
251.20	2500.0	66.103	0.015128	4.6377	5.3542	21.721	40.254	77.948	2746.3	-0.0015151	9.4185e-05	0.14115	liquid
251.27	2500.0	66.090	0.015131	4.6428	5.3594	21.742	40.253	77.957	2745.1	-0.0015113	9.4119e-05	0.14109	liquid
251.33	2500.0	66.076	0.015134	4.6478	5.3646	21.762	40.252	77.966	2744.0	-0.0015075	9.4052e-05	0.14102	liquid
251.40	2500.0	66.063	0.015137	4.6529	5.3698	21.783	40.251	77.976	2742.8	-0.0015037	9.3986e-05	0.14095	liquid
251.47	2500.0	66.049	0.015140	4.6580	5.3750	21.804	40.250	77.985	2741.6	-0.0014999	9.3920e-05	0.14088	liquid
251.53	2500.0	66.036	0.015143	4.6630	5.3802	21.824	40.249	77.994	2740.4	-0.0014961	9.3855e-05	0.14082	liquid
251.60	2500.0	66.022	0.015146	4.6681	5.3854	21.845	40.248	78.003	2739.2	-0.0014922	9.3789e-05	0.14075	liquid
251.67	2500.0	66.008	0.015150	4.6731	5.3906	21.866	40.247	78.012	2738.0	-0.0014884	9.3723e-05	0.14068	liquid
251.73	2500.0	65.995	0.015153	4.6782	5.3958	21.886	40.245	78.021	2736.9	-0.0014846	9.3657e-05	0.14062	liquid
251.80	2500.0	65.981	0.015156	4.6832	5.4010	21.907	40.244	78.030	2735.7	-0.0014808	9.3591e-05	0.14055	liquid
251.87	2500.0	65.968	0.015159	4.6883	5.4062	21.928	40.243	78.039	2734.5	-0.0014769	9.3526e-05	0.14048	liquid
251.93	2500.0	65.954	0.015162	4.6933	5.4114	21.948	40.242	78.049	2733.3	-0.0014731	9.3460e-05	0.14042	liquid
252.00	2500.0	65.941	0.015165	4.6984	5.4166	21.969	40.241	78.058	2732.1	-0.0014692	9.3395e-05	0.14035	liquid
252.07	2500.0	65.927	0.015168	4.7034	5.4218	21.990	40.240	78.067	2731.0	-0.0014654	9.3329e-05	0.14028	liquid
252.13	2500.0	65.913	0.015171	4.7085	5.4270	22.010	40.239	78.076	2729.8	-0.0014615	9.3264e-05	0.14022	liquid
252.20	2500.0	65.900	0.015175	4.7136	5.4322	22.031	40.238	78.085	2728.6	-0.0014576	9.3199e-05	0.14015	liquid
252.27	2500.0	65.886	0.015178	4.7186	5.4374	22.051	40.237	78.095	2727.4	-0.0014538	9.3133e-05	0.14008	liquid
252.33	2500.0	65.873	0.015181	4.7237	5.4426	22.072	40.236	78.104	2726.2	-0.0014499	9.3068e-05	0.14002	liquid
252.40	2500.0	65.859	0.015184	4.7287	5.4478	22.093	40.235	78.113	2725.1	-0.0014460	9.3003e-05	0.13995	liquid
