Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	3500.0	67.439	0.014828	4.3555	5.3387	20.527	40.416	75.822	2912.6	-0.0020546	0.00010049	0.14804	liquid
250.07	3500.0	67.426	0.014831	4.3604	5.3438	20.547	40.415	75.828	2911.5	-0.0020517	0.00010043	0.14798	liquid
250.13	3500.0	67.414	0.014834	4.3653	5.3488	20.568	40.414	75.834	2910.4	-0.0020489	0.00010036	0.14791	liquid
250.20	3500.0	67.401	0.014836	4.3702	5.3539	20.588	40.413	75.840	2909.3	-0.0020460	0.00010029	0.14785	liquid
250.27	3500.0	67.389	0.014839	4.3750	5.3590	20.608	40.412	75.846	2908.2	-0.0020432	0.00010022	0.14779	liquid
250.33	3500.0	67.377	0.014842	4.3799	5.3640	20.628	40.410	75.852	2907.1	-0.0020403	0.00010016	0.14772	liquid
250.40	3500.0	67.364	0.014845	4.3848	5.3691	20.648	40.409	75.858	2906.0	-0.0020374	0.00010009	0.14766	liquid
250.47	3500.0	67.352	0.014847	4.3897	5.3741	20.669	40.408	75.864	2904.9	-0.0020346	0.00010002	0.14759	liquid
250.53	3500.0	67.339	0.014850	4.3945	5.3792	20.689	40.407	75.870	2903.8	-0.0020317	9.9953e-05	0.14753	liquid
250.60	3500.0	67.327	0.014853	4.3994	5.3842	20.709	40.406	75.876	2902.7	-0.0020288	9.9886e-05	0.14746	liquid
250.67	3500.0	67.314	0.014856	4.4043	5.3893	20.729	40.405	75.882	2901.6	-0.0020260	9.9819e-05	0.14740	liquid
250.73	3500.0	67.302	0.014858	4.4092	5.3944	20.749	40.403	75.888	2900.5	-0.0020231	9.9752e-05	0.14734	liquid
250.80	3500.0	67.289	0.014861	4.4140	5.3994	20.770	40.402	75.894	2899.4	-0.0020202	9.9684e-05	0.14727	liquid
250.87	3500.0	67.277	0.014864	4.4189	5.4045	20.790	40.401	75.900	2898.3	-0.0020173	9.9617e-05	0.14721	liquid
250.93	3500.0	67.264	0.014867	4.4238	5.4095	20.810	40.400	75.906	2897.2	-0.0020144	9.9550e-05	0.14715	liquid
251.00	3500.0	67.252	0.014869	4.4287	5.4146	20.830	40.399	75.912	2896.1	-0.0020115	9.9483e-05	0.14708	liquid
251.07	3500.0	67.239	0.014872	4.4336	5.4197	20.850	40.398	75.918	2895.0	-0.0020086	9.9416e-05	0.14702	liquid
251.13	3500.0	67.227	0.014875	4.4384	5.4247	20.870	40.396	75.924	2893.9	-0.0020057	9.9350e-05	0.14695	liquid
251.20	3500.0	67.214	0.014878	4.4433	5.4298	20.891	40.395	75.930	2892.8	-0.0020028	9.9283e-05	0.14689	liquid
251.27	3500.0	67.202	0.014881	4.4482	5.4348	20.911	40.394	75.936	2891.7	-0.0019999	9.9216e-05	0.14683	liquid
251.33	3500.0	67.189	0.014883	4.4531	5.4399	20.931	40.393	75.942	2890.6	-0.0019970	9.9150e-05	0.14676	liquid
251.40	3500.0	67.177	0.014886	4.4580	5.4450	20.951	40.392	75.948	2889.5	-0.0019941	9.9083e-05	0.14670	liquid
251.47	3500.0	67.164	0.014889	4.4628	5.4500	20.971	40.391	75.954	2888.4	-0.0019911	9.9017e-05	0.14663	liquid
