Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
252.87	2600.0	65.885	0.015178	4.7430	5.4906	22.148	40.240	77.938	2732.5	-0.0014766	9.3072e-05	0.14009	liquid
252.93	2600.0	65.871	0.015181	4.7480	5.4958	22.169	40.239	77.947	2731.3	-0.0014728	9.3008e-05	0.14002	liquid
253.00	2600.0	65.858	0.015184	4.7531	5.5010	22.189	40.238	77.956	2730.2	-0.0014690	9.2943e-05	0.13996	liquid
253.07	2600.0	65.844	0.015187	4.7581	5.5062	22.210	40.237	77.965	2729.0	-0.0014651	9.2878e-05	0.13989	liquid
253.13	2600.0	65.831	0.015190	4.7632	5.5114	22.230	40.236	77.974	2727.8	-0.0014613	9.2814e-05	0.13983	liquid
253.20	2600.0	65.817	0.015194	4.7682	5.5166	22.251	40.235	77.983	2726.7	-0.0014575	9.2750e-05	0.13976	liquid
253.27	2600.0	65.804	0.015197	4.7733	5.5218	22.271	40.234	77.992	2725.5	-0.0014536	9.2685e-05	0.13969	liquid
253.33	2600.0	65.790	0.015200	4.7783	5.5270	22.292	40.233	78.001	2724.3	-0.0014498	9.2621e-05	0.13963	liquid
253.40	2600.0	65.777	0.015203	4.7834	5.5322	22.312	40.232	78.010	2723.1	-0.0014459	9.2557e-05	0.13956	liquid
253.47	2600.0	65.763	0.015206	4.7884	5.5374	22.333	40.231	78.019	2722.0	-0.0014421	9.2492e-05	0.13950	liquid
253.53	2600.0	65.750	0.015209	4.7935	5.5426	22.353	40.230	78.028	2720.8	-0.0014382	9.2428e-05	0.13943	liquid
253.60	2600.0	65.736	0.015212	4.7985	5.5478	22.374	40.229	78.038	2719.6	-0.0014343	9.2364e-05	0.13936	liquid
253.67	2600.0	65.722	0.015215	4.8035	5.5530	22.394	40.228	78.047	2718.5	-0.0014305	9.2300e-05	0.13930	liquid
253.73	2600.0	65.709	0.015219	4.8086	5.5582	22.415	40.227	78.056	2717.3	-0.0014266	9.2236e-05	0.13923	liquid
253.80	2600.0	65.695	0.015222	4.8136	5.5634	22.436	40.226	78.065	2716.1	-0.0014227	9.2172e-05	0.13916	liquid
253.87	2600.0	65.682	0.015225	4.8187	5.5686	22.456	40.225	78.074	2715.0	-0.0014188	9.2109e-05	0.13910	liquid
253.93	2600.0	65.668	0.015228	4.8237	5.5738	22.477	40.224	78.083	2713.8	-0.0014149	9.2045e-05	0.13903	liquid
254.00	2600.0	65.655	0.015231	4.8288	5.5790	22.497	40.223	78.092	2712.6	-0.0014110	9.1981e-05	0.13897	liquid
254.07	2600.0	65.641	0.015234	4.8338	5.5842	22.518	40.222	78.102	2711.5	-0.0014071	9.1917e-05	0.13890	liquid
254.13	2600.0	65.627	0.015238	4.8389	5.5894	22.538	40.221	78.111	2710.3	-0.0014032	9.1854e-05	0.13883	liquid
254.20	2600.0	65.614	0.015241	4.8440	5.5946	22.558	40.219	78.120	2709.1	-0.0013993	9.1790e-05	0.13877	liquid
254.27	2600.0	65.600	0.015244	4.8490	5.5998	22.579	40.218	78.129	2708.0	-0.0013954	9.1727e-05	0.13870	liquid
254.33	2600.0	65.587	0.015247	4.8541	5.6051	22.599	40.217	78.139	2706.8	-0.0013914	9.1663e-05	0.13864	liquid
254.40	2600.0	65.573	0.015250	4.8591	5.6103	22.620	40.216	78.148	2705.6	-0.0013875	9.1600e-05	0.13857	liquid
254.47	2600.0	65.560	0.015253	4.8642	5.6155	22.640	40.215	78.157	2704.4	-0.0013836	9.1537e-05	0.13850	liquid
254.53	2600.0	65.546	0.015256	4.8692	5.6207	22.661	40.214	78.166	2703.3	-0.0013796	9.1474e-05	0.13844	liquid
254.60	2600.0	65.532	0.015260	4.8743	5.6259	22.681	40.213	78.176	2702.1	-0.0013757	9.1410e-05	0.13837	liquid
254.67	2600.0	65.519	0.015263	4.8793	5.6311	22.702	40.212	78.185	2700.9	-0.0013717	9.1347e-05	0.13831	liquid
254.73	2600.0	65.505	0.015266	4.8844	5.6363	22.722	40.211	78.194	2699.8	-0.0013678	9.1284e-05	0.13824	liquid
254.80	2600.0	65.491	0.015269	4.8894	5.6415	22.743	40.210	78.204	2698.6	-0.0013638	9.1221e-05	0.13817	liquid
254.87	2600.0	65.478	0.015272	4.8945	5.6467	22.763	40.209	78.213	2697.4	-0.0013598	9.1158e-05	0.13811	liquid
254.93	2600.0	65.464	0.015276	4.8996	5.6520	22.784	40.208	78.222	2696.3	-0.0013559	9.1095e-05	0.13804	liquid
255.00	2600.0	65.451	0.015279	4.9046	5.6572	22.804	40.207	78.232	2695.1	-0.0013519	9.1032e-05	0.13798	liquid
