Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	2200.0	65.988	0.015154	4.6097	5.2413	21.614	40.235	78.506	2720.5	-0.0014125	9.3792e-05	0.14054	liquid
250.07	2200.0	65.974	0.015158	4.6148	5.2465	21.634	40.234	78.516	2719.3	-0.0014085	9.3725e-05	0.14048	liquid
250.13	2200.0	65.960	0.015161	4.6199	5.2517	21.655	40.233	78.526	2718.1	-0.0014044	9.3658e-05	0.14041	liquid
250.20	2200.0	65.946	0.015164	4.6250	5.2570	21.676	40.232	78.536	2716.9	-0.0014004	9.3591e-05	0.14034	liquid
250.27	2200.0	65.932	0.015167	4.6301	5.2622	21.697	40.231	78.546	2715.7	-0.0013963	9.3524e-05	0.14027	liquid
250.33	2200.0	65.919	0.015170	4.6352	5.2674	21.718	40.230	78.556	2714.4	-0.0013923	9.3457e-05	0.14020	liquid
250.40	2200.0	65.905	0.015173	4.6403	5.2727	21.739	40.229	78.567	2713.2	-0.0013882	9.3390e-05	0.14014	liquid
250.47	2200.0	65.891	0.015177	4.6454	5.2779	21.760	40.228	78.577	2712.0	-0.0013842	9.3323e-05	0.14007	liquid
250.53	2200.0	65.877	0.015180	4.6505	5.2831	21.781	40.227	78.587	2710.8	-0.0013801	9.3256e-05	0.14000	liquid
250.60	2200.0	65.863	0.015183	4.6556	5.2884	21.802	40.226	78.597	2709.6	-0.0013760	9.3190e-05	0.13993	liquid
250.67	2200.0	65.849	0.015186	4.6607	5.2936	21.823	40.225	78.607	2708.4	-0.0013719	9.3123e-05	0.13986	liquid
250.73	2200.0	65.835	0.015189	4.6658	5.2989	21.844	40.223	78.617	2707.2	-0.0013678	9.3056e-05	0.13979	liquid
250.80	2200.0	65.822	0.015193	4.6709	5.3041	21.865	40.222	78.628	2706.0	-0.0013637	9.2990e-05	0.13973	liquid
250.87	2200.0	65.808	0.015196	4.6760	5.3093	21.885	40.221	78.638	2704.8	-0.0013596	9.2923e-05	0.13966	liquid
250.93	2200.0	65.794	0.015199	4.6811	5.3146	21.906	40.220	78.648	2703.5	-0.0013555	9.2857e-05	0.13959	liquid
251.00	2200.0	65.780	0.015202	4.6862	5.3198	21.927	40.219	78.658	2702.3	-0.0013514	9.2790e-05	0.13952	liquid
251.07	2200.0	65.766	0.015205	4.6914	5.3251	21.948	40.218	78.669	2701.1	-0.0013473	9.2724e-05	0.13945	liquid
251.13	2200.0	65.752	0.015209	4.6965	5.3303	21.969	40.217	78.679	2699.9	-0.0013431	9.2658e-05	0.13939	liquid
251.20	2200.0	65.738	0.015212	4.7016	5.3356	21.990	40.216	78.689	2698.7	-0.0013390	9.2592e-05	0.13932	liquid
251.27	2200.0	65.724	0.015215	4.7067	5.3408	22.011	40.215	78.699	2697.5	-0.0013349	9.2526e-05	0.13925	liquid
251.33	2200.0	65.710	0.015218	4.7118	5.3461	22.032	40.214	78.710	2696.3	-0.0013307	9.2460e-05	0.13918	liquid
251.40	2200.0	65.697	0.015222	4.7169	5.3513	22.053	40.213	78.720	2695.1	-0.0013266	9.2394e-05	0.13912	liquid
251.47	2200.0	65.683	0.015225	4.7220	5.3566	22.073	40.212	78.730	2693.8	-0.0013224	9.2328e-05	0.13905	liquid
251.53	2200.0	65.669	0.015228	4.7271	5.3618	22.094	40.211	78.741	2692.6	-0.0013182	9.2262e-05	0.13898	liquid
251.60	2200.0	65.655	0.015231	4.7323	5.3671	22.115	40.210	78.751	2691.4	-0.0013141	9.2196e-05	0.13891	liquid
251.67	2200.0	65.641	0.015234	4.7374	5.3723	22.136	40.208	78.762	2690.2	-0.0013099	9.2130e-05	0.13884	liquid
251.73	2200.0	65.627	0.015238	4.7425	5.3776	22.157	40.207	78.772	2689.0	-0.0013057	9.2064e-05	0.13878	liquid
251.80	2200.0	65.613	0.015241	4.7476	5.3828	22.178	40.206	78.782	2687.8	-0.0013015	9.1999e-05	0.13871	liquid
251.87	2200.0	65.599	0.015244	4.7527	5.3881	22.199	40.205	78.793	2686.6	-0.0012973	9.1933e-05	0.13864	liquid
251.93	2200.0	65.585	0.015247	4.7578	5.3933	22.219	40.204	78.803	2685.4	-0.0012931	9.1868e-05	0.13857	liquid
252.00	2200.0	65.571	0.015251	4.7630	5.3986	22.240	40.203	78.814	2684.2	-0.0012889	9.1802e-05	0.13850	liquid
252.07	2200.0	65.557	0.015254	4.7681	5.4038	22.261	40.202	78.824	2682.9	-0.0012847	9.1737e-05	0.13844	liquid
252.13	2200.0	65.543	0.015257	4.7732	5.4091	22.282	40.201	78.835	2681.7	-0.0012805	9.1672e-05	0.13837	liquid
252.20	2200.0	65.529	0.015260	4.7783	5.4143	22.303	40.200	78.845	2680.5	-0.0012763	9.1606e-05	0.13830	liquid
252.27	2200.0	65.515	0.015264	4.7834	5.4196	22.324	40.199	78.856	2679.3	-0.0012720	9.1541e-05	0.13823	liquid
252.33	2200.0	65.501	0.015267	4.7886	5.4249	22.345	40.198	78.866	2678.1	-0.0012678	9.1476e-05	0.13817	liquid
252.40	2200.0	65.487	0.015270	4.7937	5.4301	22.365	40.197	78.877	2676.9	-0.0012635	9.1411e-05	0.13810	liquid
252.47	2200.0	65.473	0.015273	4.7988	5.4354	22.386	40.196	78.888	2675.7	-0.0012593	9.1346e-05	0.13803	liquid
252.53	2200.0	65.459	0.015277	4.8039	5.4406	22.407	40.195	78.898	2674.5	-0.0012550	9.1281e-05	0.13796	liquid
252.60	2200.0	65.445	0.015280	4.8091	5.4459	22.428	40.194	78.909	2673.2	-0.0012508	9.1216e-05	0.13789	liquid
252.67	2200.0	65.431	0.015283	4.8142	5.4511	22.449	40.193	78.920	2672.0	-0.0012465	9.1151e-05	0.13783	liquid
252.73	2200.0	65.417	0.015286	4.8193	5.4564	22.469	40.192	78.930	2670.8	-0.0012422	9.1086e-05	0.13776	liquid
252.80	2200.0	65.403	0.015290	4.8244	5.4617	22.490	40.191	78.941	2669.6	-0.0012379	9.1022e-05	0.13769	liquid
252.87	2200.0	65.389	0.015293	4.8296	5.4669	22.511	40.190	78.952	2668.4	-0.0012336	9.0957e-05	0.13762	liquid
252.93	2200.0	65.375	0.015296	4.8347	5.4722	22.532	40.189	78.962	2667.2	-0.0012293	9.0892e-05	0.13756	liquid
253.00	2200.0	65.361	0.015300	4.8398	5.4775	22.553	40.188	78.973	2666.0	-0.0012250	9.0828e-05	0.13749	liquid
253.07	2200.0	65.347	0.015303	4.8449	5.4827	22.574	40.187	78.984	2664.8	-0.0012207	9.0763e-05	0.13742	liquid
253.13	2200.0	65.333	0.015306	4.8501	5.4880	22.594	40.186	78.994	2663.6	-0.0012164	9.0699e-05	0.13735	liquid
253.20	2200.0	65.319	0.015309	4.8552	5.4933	22.615	40.185	79.005	2662.3	-0.0012121	9.0634e-05	0.13728	liquid
253.27	2200.0	65.305	0.015313	4.8603	5.4985	22.636	40.184	79.016	2661.1	-0.0012078	9.0570e-05	0.13722	liquid
253.33	2200.0	65.291	0.015316	4.8655	5.5038	22.657	40.183	79.027	2659.9	-0.0012034	9.0506e-05	0.13715	liquid
253.40	2200.0	65.277	0.015319	4.8706	5.5091	22.678	40.182	79.038	2658.7	-0.0011991	9.0441e-05	0.13708	liquid
253.47	2200.0	65.263	0.015323	4.8757	5.5143	22.698	40.181	79.048	2657.5	-0.0011947	9.0377e-05	0.13701	liquid
253.53	2200.0	65.249	0.015326	4.8809	5.5196	22.719	40.180	79.059	2656.3	-0.0011904	9.0313e-05	0.13695	liquid
253.60	2200.0	65.235	0.015329	4.8860	5.5249	22.740	40.179	79.070	2655.1	-0.0011860	9.0249e-05	0.13688	liquid
253.67	2200.0	65.221	0.015333	4.8911	5.5301	22.761	40.178	79.081	2653.9	-0.0011816	9.0185e-05	0.13681	liquid
253.73	2200.0	65.207	0.015336	4.8963	5.5354	22.781	40.177	79.092	2652.6	-0.0011773	9.0121e-05	0.13674	liquid
253.80	2200.0	65.192	0.015339	4.9014	5.5407	22.802	40.176	79.103	2651.4	-0.0011729	9.0057e-05	0.13668	liquid
253.87	2200.0	65.178	0.015343	4.9065	5.5460	22.823	40.175	79.114	2650.2	-0.0011685	8.9994e-05	0.13661	liquid
253.93	2200.0	65.164	0.015346	4.9117	5.5512	22.844	40.174	79.125	2649.0	-0.0011641	8.9930e-05	0.13654	liquid
254.00	2200.0	65.150	0.015349	4.9168	5.5565	22.865	40.173	79.136	2647.8	-0.0011597	8.9866e-05	0.13647	liquid
254.07	2200.0	65.136	0.015352	4.9219	5.5618	22.885	40.172	79.147	2646.6	-0.0011553	8.9802e-05	0.13641	liquid
