Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	2800.0	66.689	0.014995	4.4868	5.2822	21.092	40.315	77.135	2812.9	-0.0017379	9.6950e-05	0.14412	liquid
250.07	2800.0	66.676	0.014998	4.4918	5.2874	21.113	40.314	77.143	2811.7	-0.0017345	9.6882e-05	0.14405	liquid
250.13	2800.0	66.663	0.015001	4.4968	5.2925	21.133	40.313	77.151	2810.6	-0.0017311	9.6815e-05	0.14399	liquid
250.20	2800.0	66.650	0.015004	4.5018	5.2976	21.154	40.312	77.159	2809.4	-0.0017277	9.6748e-05	0.14392	liquid
250.27	2800.0	66.637	0.015007	4.5068	5.3028	21.174	40.310	77.167	2808.3	-0.0017243	9.6681e-05	0.14385	liquid
250.33	2800.0	66.624	0.015010	4.5118	5.3079	21.195	40.309	77.174	2807.1	-0.0017209	9.6613e-05	0.14379	liquid
250.40	2800.0	66.610	0.015013	4.5168	5.3131	21.215	40.308	77.182	2805.9	-0.0017174	9.6546e-05	0.14372	liquid
250.47	2800.0	66.597	0.015016	4.5217	5.3182	21.236	40.307	77.190	2804.8	-0.0017140	9.6479e-05	0.14366	liquid
250.53	2800.0	66.584	0.015019	4.5267	5.3234	21.257	40.306	77.198	2803.6	-0.0017106	9.6412e-05	0.14359	liquid
250.60	2800.0	66.571	0.015022	4.5317	5.3285	21.277	40.305	77.206	2802.5	-0.0017071	9.6345e-05	0.14352	liquid
250.67	2800.0	66.558	0.015025	4.5367	5.3337	21.298	40.304	77.214	2801.3	-0.0017037	9.6278e-05	0.14346	liquid
250.73	2800.0	66.545	0.015027	4.5417	5.3388	21.318	40.302	77.222	2800.2	-0.0017002	9.6212e-05	0.14339	liquid
250.80	2800.0	66.532	0.015030	4.5467	5.3440	21.339	40.301	77.230	2799.0	-0.0016968	9.6145e-05	0.14333	liquid
250.87	2800.0	66.518	0.015033	4.5517	5.3491	21.359	40.300	77.237	2797.9	-0.0016933	9.6078e-05	0.14326	liquid
250.93	2800.0	66.505	0.015036	4.5567	5.3543	21.380	40.299	77.245	2796.7	-0.0016899	9.6012e-05	0.14319	liquid
251.00	2800.0	66.492	0.015039	4.5617	5.3594	21.400	40.298	77.253	2795.6	-0.0016864	9.5945e-05	0.14313	liquid
251.07	2800.0	66.479	0.015042	4.5667	5.3646	21.421	40.297	77.261	2794.4	-0.0016829	9.5879e-05	0.14306	liquid
251.13	2800.0	66.466	0.015045	4.5716	5.3697	21.441	40.296	77.269	2793.3	-0.0016794	9.5812e-05	0.14300	liquid
251.20	2800.0	66.452	0.015048	4.5766	5.3749	21.462	40.295	77.277	2792.1	-0.0016759	9.5746e-05	0.14293	liquid
251.27	2800.0	66.439	0.015051	4.5816	5.3800	21.482	40.293	77.285	2791.0	-0.0016725	9.5680e-05	0.14286	liquid
251.33	2800.0	66.426	0.015054	4.5866	5.3852	21.503	40.292	77.293	2789.8	-0.0016690	9.5613e-05	0.14280	liquid
251.40	2800.0	66.413	0.015057	4.5916	5.3903	21.523	40.291	77.301	2788.6	-0.0016655	9.5547e-05	0.14273	liquid
251.47	2800.0	66.400	0.015060	4.5966	5.3955	21.544	40.290	77.309	2787.5	-0.0016620	9.5481e-05	0.14267	liquid
251.53	2800.0	66.387	0.015063	4.6016	5.4006	21.564	40.289	77.317	2786.3	-0.0016585	9.5415e-05	0.14260	liquid
251.60	2800.0	66.373	0.015066	4.6066	5.4058	21.585	40.288	77.325	2785.2	-0.0016550	9.5349e-05	0.14254	liquid
251.67	2800.0	66.360	0.015069	4.6116	5.4109	21.605	40.287	77.333	2784.0	-0.0016514	9.5283e-05	0.14247	liquid
251.73	2800.0	66.347	0.015072	4.6166	5.4161	21.626	40.286	77.341	2782.9	-0.0016479	9.5218e-05	0.14240	liquid
251.80	2800.0	66.334	0.015075	4.6216	5.4213	21.646	40.285	77.349	2781.7	-0.0016444	9.5152e-05	0.14234	liquid
251.87	2800.0	66.320	0.015078	4.6266	5.4264	21.667	40.283	77.358	2780.6	-0.0016409	9.5086e-05	0.14227	liquid
251.93	2800.0	66.307	0.015081	4.6316	5.4316	21.687	40.282	77.366	2779.4	-0.0016373	9.5020e-05	0.14221	liquid
