Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	2400.0	66.228	0.015099	4.5675	5.2540	21.435	40.261	78.019	2752.1	-0.0015275	9.4859e-05	0.14176	liquid
250.07	2400.0	66.215	0.015102	4.5726	5.2592	21.456	40.260	78.028	2750.9	-0.0015237	9.4791e-05	0.14169	liquid
250.13	2400.0	66.201	0.015105	4.5777	5.2644	21.477	40.259	78.038	2749.7	-0.0015199	9.4724e-05	0.14162	liquid
250.20	2400.0	66.188	0.015109	4.5827	5.2696	21.498	40.258	78.047	2748.5	-0.0015161	9.4657e-05	0.14156	liquid
250.27	2400.0	66.174	0.015112	4.5878	5.2749	21.519	40.257	78.056	2747.3	-0.0015122	9.4590e-05	0.14149	liquid
250.33	2400.0	66.160	0.015115	4.5928	5.2801	21.539	40.255	78.065	2746.1	-0.0015084	9.4523e-05	0.14142	liquid
250.40	2400.0	66.147	0.015118	4.5979	5.2853	21.560	40.254	78.075	2744.9	-0.0015046	9.4456e-05	0.14136	liquid
250.47	2400.0	66.133	0.015121	4.6030	5.2905	21.581	40.253	78.084	2743.8	-0.0015007	9.4389e-05	0.14129	liquid
250.53	2400.0	66.120	0.015124	4.6080	5.2957	21.602	40.252	78.093	2742.6	-0.0014969	9.4322e-05	0.14122	liquid
250.60	2400.0	66.106	0.015127	4.6131	5.3009	21.623	40.251	78.103	2741.4	-0.0014931	9.4256e-05	0.14115	liquid
250.67	2400.0	66.092	0.015130	4.6182	5.3061	21.643	40.250	78.112	2740.2	-0.0014892	9.4189e-05	0.14109	liquid
250.73	2400.0	66.079	0.015133	4.6232	5.3113	21.664	40.249	78.121	2739.0	-0.0014853	9.4122e-05	0.14102	liquid
250.80	2400.0	66.065	0.015137	4.6283	5.3165	21.685	40.248	78.131	2737.8	-0.0014815	9.4056e-05	0.14095	liquid
250.87	2400.0	66.052	0.015140	4.6334	5.3217	21.706	40.247	78.140	2736.6	-0.0014776	9.3989e-05	0.14088	liquid
250.93	2400.0	66.038	0.015143	4.6384	5.3269	21.726	40.246	78.149	2735.4	-0.0014737	9.3923e-05	0.14082	liquid
251.00	2400.0	66.024	0.015146	4.6435	5.3321	21.747	40.244	78.159	2734.2	-0.0014699	9.3856e-05	0.14075	liquid
251.07	2400.0	66.011	0.015149	4.6486	5.3373	21.768	40.243	78.168	2733.0	-0.0014660	9.3790e-05	0.14068	liquid
251.13	2400.0	65.997	0.015152	4.6536	5.3426	21.789	40.242	78.178	2731.8	-0.0014621	9.3724e-05	0.14061	liquid
251.20	2400.0	65.983	0.015155	4.6587	5.3478	21.809	40.241	78.187	2730.7	-0.0014582	9.3657e-05	0.14055	liquid
251.27	2400.0	65.970	0.015158	4.6638	5.3530	21.830	40.240	78.196	2729.5	-0.0014543	9.3591e-05	0.14048	liquid
251.33	2400.0	65.956	0.015162	4.6689	5.3582	21.851	40.239	78.206	2728.3	-0.0014504	9.3525e-05	0.14041	liquid
251.40	2400.0	65.942	0.015165	4.6739	5.3634	21.872	40.238	78.215	2727.1	-0.0014465	9.3459e-05	0.14035	liquid
251.47	2400.0	65.929	0.015168	4.6790	5.3686	21.892	40.237	78.225	2725.9	-0.0014425	9.3393e-05	0.14028	liquid
251.53	2400.0	65.915	0.015171	4.6841	5.3738	21.913	40.236	78.234	2724.7	-0.0014386	9.3327e-05	0.14021	liquid
251.60	2400.0	65.901	0.015174	4.6891	5.3791	21.934	40.235	78.244	2723.5	-0.0014347	9.3261e-05	0.14014	liquid
251.67	2400.0	65.888	0.015177	4.6942	5.3843	21.955	40.234	78.253	2722.3	-0.0014307	9.3196e-05	0.14008	liquid
251.73	2400.0	65.874	0.015180	4.6993	5.3895	21.975	40.233	78.263	2721.1	-0.0014268	9.3130e-05	0.14001	liquid
251.80	2400.0	65.860	0.015184	4.7044	5.3947	21.996	40.231	78.272	2719.9	-0.0014229	9.3064e-05	0.13994	liquid
251.87	2400.0	65.847	0.015187	4.7094	5.3999	22.017	40.230	78.282	2718.7	-0.0014189	9.2999e-05	0.13988	liquid
251.93	2400.0	65.833	0.015190	4.7145	5.4051	22.037	40.229	78.292	2717.6	-0.0014149	9.2933e-05	0.13981	liquid
252.00	2400.0	65.819	0.015193	4.7196	5.4104	22.058	40.228	78.301	2716.4	-0.0014110	9.2868e-05	0.13974	liquid
