Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	2100.0	65.865	0.015183	4.6312	5.2352	21.704	40.223	78.762	2704.4	-0.0013523	9.3254e-05	0.13993	liquid
250.07	2100.0	65.851	0.015186	4.6363	5.2405	21.725	40.222	78.773	2703.2	-0.0013481	9.3186e-05	0.13986	liquid
250.13	2100.0	65.837	0.015189	4.6415	5.2457	21.746	40.221	78.783	2701.9	-0.0013440	9.3119e-05	0.13979	liquid
250.20	2100.0	65.823	0.015192	4.6466	5.2510	21.767	40.220	78.794	2700.7	-0.0013398	9.3052e-05	0.13972	liquid
250.27	2100.0	65.809	0.015196	4.6517	5.2562	21.788	40.219	78.804	2699.5	-0.0013356	9.2985e-05	0.13965	liquid
250.33	2100.0	65.795	0.015199	4.6568	5.2615	21.809	40.218	78.815	2698.3	-0.0013315	9.2918e-05	0.13958	liquid
250.40	2100.0	65.781	0.015202	4.6620	5.2667	21.830	40.217	78.826	2697.1	-0.0013273	9.2851e-05	0.13952	liquid
250.47	2100.0	65.767	0.015205	4.6671	5.2720	21.851	40.215	78.836	2695.8	-0.0013231	9.2784e-05	0.13945	liquid
250.53	2100.0	65.753	0.015208	4.6722	5.2772	21.872	40.214	78.847	2694.6	-0.0013189	9.2718e-05	0.13938	liquid
250.60	2100.0	65.739	0.015212	4.6773	5.2825	21.893	40.213	78.857	2693.4	-0.0013147	9.2651e-05	0.13931	liquid
250.67	2100.0	65.725	0.015215	4.6825	5.2878	21.914	40.212	78.868	2692.2	-0.0013105	9.2584e-05	0.13924	liquid
250.73	2100.0	65.711	0.015218	4.6876	5.2930	21.935	40.211	78.879	2690.9	-0.0013062	9.2518e-05	0.13917	liquid
250.80	2100.0	65.697	0.015221	4.6927	5.2983	21.956	40.210	78.889	2689.7	-0.0013020	9.2451e-05	0.13910	liquid
