Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	3100.0	67.019	0.014921	4.4291	5.3054	20.845	40.357	76.540	2856.6	-0.0018809	9.8486e-05	0.14583	liquid
250.07	3100.0	67.006	0.014924	4.4341	5.3105	20.865	40.356	76.547	2855.4	-0.0018777	9.8418e-05	0.14576	liquid
250.13	3100.0	66.993	0.014927	4.4390	5.3156	20.886	40.355	76.554	2854.3	-0.0018746	9.8350e-05	0.14570	liquid
250.20	3100.0	66.980	0.014930	4.4439	5.3207	20.906	40.354	76.561	2853.2	-0.0018714	9.8283e-05	0.14563	liquid
250.27	3100.0	66.967	0.014933	4.4489	5.3258	20.926	40.353	76.568	2852.0	-0.0018683	9.8216e-05	0.14557	liquid
250.33	3100.0	66.955	0.014935	4.4538	5.3309	20.947	40.352	76.575	2850.9	-0.0018651	9.8148e-05	0.14550	liquid
250.40	3100.0	66.942	0.014938	4.4587	5.3360	20.967	40.351	76.582	2849.8	-0.0018619	9.8081e-05	0.14544	liquid
250.47	3100.0	66.929	0.014941	4.4637	5.3411	20.988	40.349	76.589	2848.7	-0.0018588	9.8014e-05	0.14537	liquid
250.53	3100.0	66.916	0.014944	4.4686	5.3462	21.008	40.348	76.596	2847.5	-0.0018556	9.7947e-05	0.14531	liquid
250.60	3100.0	66.903	0.014947	4.4735	5.3513	21.028	40.347	76.603	2846.4	-0.0018524	9.7879e-05	0.14524	liquid
250.67	3100.0	66.890	0.014950	4.4785	5.3564	21.049	40.346	76.610	2845.3	-0.0018492	9.7812e-05	0.14518	liquid
250.73	3100.0	66.878	0.014953	4.4834	5.3616	21.069	40.345	76.617	2844.1	-0.0018460	9.7746e-05	0.14511	liquid
250.80	3100.0	66.865	0.014956	4.4884	5.3667	21.089	40.344	76.624	2843.0	-0.0018429	9.7679e-05	0.14505	liquid
250.87	3100.0	66.852	0.014958	4.4933	5.3718	21.110	40.342	76.631	2841.9	-0.0018397	9.7612e-05	0.14498	liquid
250.93	3100.0	66.839	0.014961	4.4982	5.3769	21.130	40.341	76.638	2840.8	-0.0018365	9.7545e-05	0.14492	liquid
251.00	3100.0	66.826	0.014964	4.5032	5.3820	21.151	40.340	76.645	2839.6	-0.0018333	9.7478e-05	0.14485	liquid
251.07	3100.0	66.813	0.014967	4.5081	5.3871	21.171	40.339	76.652	2838.5	-0.0018301	9.7412e-05	0.14479	liquid
251.13	3100.0	66.800	0.014970	4.5131	5.3922	21.191	40.338	76.659	2837.4	-0.0018268	9.7345e-05	0.14472	liquid
251.20	3100.0	66.788	0.014973	4.5180	5.3973	21.212	40.337	76.666	2836.3	-0.0018236	9.7279e-05	0.14466	liquid
251.27	3100.0	66.775	0.014976	4.5230	5.4024	21.232	40.336	76.673	2835.1	-0.0018204	9.7212e-05	0.14459	liquid
251.33	3100.0	66.762	0.014979	4.5279	5.4075	21.252	40.334	76.680	2834.0	-0.0018172	9.7146e-05	0.14453	liquid
251.40	3100.0	66.749	0.014982	4.5328	5.4127	21.273	40.333	76.687	2832.9	-0.0018140	9.7080e-05	0.14446	liquid
251.47	3100.0	66.736	0.014984	4.5378	5.4178	21.293	40.332	76.694	2831.7	-0.0018107	9.7013e-05	0.14440	liquid
251.53	3100.0	66.723	0.014987	4.5427	5.4229	21.313	40.331	76.701	2830.6	-0.0018075	9.6947e-05	0.14433	liquid
251.60	3100.0	66.710	0.014990	4.5477	5.4280	21.334	40.330	76.708	2829.5	-0.0018043	9.6881e-05	0.14427	liquid
251.67	3100.0	66.697	0.014993	4.5526	5.4331	21.354	40.329	76.715	2828.4	-0.0018010	9.6815e-05	0.14420	liquid
251.73	3100.0	66.684	0.014996	4.5576	5.4382	21.374	40.328	76.723	2827.2	-0.0017978	9.6749e-05	0.14414	liquid
251.80	3100.0	66.672	0.014999	4.5625	5.4433	21.395	40.327	76.730	2826.1	-0.0017945	9.6683e-05	0.14407	liquid
251.87	3100.0	66.659	0.015002	4.5674	5.4485	21.415	40.325	76.737	2825.0	-0.0017913	9.6617e-05	0.14401	liquid
251.93	3100.0	66.646	0.015005	4.5724	5.4536	21.435	40.324	76.744	2823.9	-0.0017880	9.6552e-05	0.14394	liquid
252.00	3100.0	66.633	0.015008	4.5773	5.4587	21.455	40.323	76.751	2822.7	-0.0017847	9.6486e-05	0.14388	liquid
252.07	3100.0	66.620	0.015011	4.5823	5.4638	21.476	40.322	76.758	2821.6	-0.0017815	9.6420e-05	0.14381	liquid
252.13	3100.0	66.607	0.015013	4.5872	5.4689	21.496	40.321	76.765	2820.5	-0.0017782	9.6355e-05	0.14375	liquid
252.20	3100.0	66.594	0.015016	4.5922	5.4740	21.516	40.320	76.773	2819.3	-0.0017749	9.6289e-05	0.14368	liquid
252.27	3100.0	66.581	0.015019	4.5971	5.4792	21.537	40.319	76.780	2818.2	-0.0017716	9.6224e-05	0.14362	liquid
252.33	3100.0	66.568	0.015022	4.6021	5.4843	21.557	40.318	76.787	2817.1	-0.0017683	9.6158e-05	0.14355	liquid
252.40	3100.0	66.555	0.015025	4.6070	5.4894	21.577	40.317	76.794	2816.0	-0.0017651	9.6093e-05	0.14349	liquid
252.47	3100.0	66.542	0.015028	4.6120	5.4945	21.598	40.315	76.802	2814.8	-0.0017618	9.6028e-05	0.14343	liquid
252.53	3100.0	66.529	0.015031	4.6169	5.4996	21.618	40.314	76.809	2813.7	-0.0017585	9.5962e-05	0.14336	liquid
252.60	3100.0	66.517	0.015034	4.6219	5.5048	21.638	40.313	76.816	2812.6	-0.0017552	9.5897e-05	0.14330	liquid
252.67	3100.0	66.504	0.015037	4.6268	5.5099	21.658	40.312	76.823	2811.5	-0.0017519	9.5832e-05	0.14323	liquid
252.73	3100.0	66.491	0.015040	4.6318	5.5150	21.679	40.311	76.831	2810.3	-0.0017485	9.5767e-05	0.14317	liquid
252.80	3100.0	66.478	0.015043	4.6367	5.5201	21.699	40.310	76.838	2809.2	-0.0017452	9.5702e-05	0.14310	liquid
252.87	3100.0	66.465	0.015046	4.6417	5.5252	21.719	40.309	76.845	2808.1	-0.0017419	9.5637e-05	0.14304	liquid
252.93	3100.0	66.452	0.015048	4.6466	5.5304	21.739	40.308	76.852	2807.0	-0.0017386	9.5572e-05	0.14297	liquid
253.00	3100.0	66.439	0.015051	4.6516	5.5355	21.760	40.307	76.860	2805.8	-0.0017353	9.5508e-05	0.14291	liquid
253.07	3100.0	66.426	0.015054	4.6565	5.5406	21.780	40.306	76.867	2804.7	-0.0017319	9.5443e-05	0.14284	liquid
253.13	3100.0	66.413	0.015057	4.6615	5.5457	21.800	40.305	76.874	2803.6	-0.0017286	9.5378e-05	0.14278	liquid
253.20	3100.0	66.400	0.015060	4.6664	5.5509	21.820	40.303	76.882	2802.5	-0.0017253	9.5314e-05	0.14271	liquid
253.27	3100.0	66.387	0.015063	4.6714	5.5560	21.841	40.302	76.889	2801.3	-0.0017219	9.5249e-05	0.14265	liquid
253.33	3100.0	66.374	0.015066	4.6763	5.5611	21.861	40.301	76.896	2800.2	-0.0017186	9.5185e-05	0.14258	liquid
253.40	3100.0	66.361	0.015069	4.6813	5.5662	21.881	40.300	76.904	2799.1	-0.0017152	9.5120e-05	0.14252	liquid
253.47	3100.0	66.348	0.015072	4.6862	5.5714	21.901	40.299	76.911	2798.0	-0.0017119	9.5056e-05	0.14246	liquid
253.53	3100.0	66.335	0.015075	4.6912	5.5765	21.922	40.298	76.918	2796.8	-0.0017085	9.4992e-05	0.14239	liquid
253.60	3100.0	66.322	0.015078	4.6961	5.5816	21.942	40.297	76.926	2795.7	-0.0017051	9.4928e-05	0.14233	liquid
253.67	3100.0	66.309	0.015081	4.7011	5.5868	21.962	40.296	76.933	2794.6	-0.0017018	9.4863e-05	0.14226	liquid
253.73	3100.0	66.296	0.015084	4.7061	5.5919	21.982	40.295	76.941	2793.5	-0.0016984	9.4799e-05	0.14220	liquid
253.80	3100.0	66.283	0.015087	4.7110	5.5970	22.002	40.294	76.948	2792.4	-0.0016950	9.4735e-05	0.14213	liquid
253.87	3100.0	66.270	0.015090	4.7160	5.6021	22.023	40.293	76.956	2791.2	-0.0016916	9.4671e-05	0.14207	liquid
253.93	3100.0	66.257	0.015093	4.7209	5.6073	22.043	40.292	76.963	2790.1	-0.0016882	9.4607e-05	0.14200	liquid
254.00	3100.0	66.244	0.015096	4.7259	5.6124	22.063	40.290	76.970	2789.0	-0.0016848	9.4543e-05	0.14194	liquid
254.07	3100.0	66.231	0.015099	4.7308	5.6175	22.083	40.289	76.978	2787.9	-0.0016815	9.4480e-05	0.14187	liquid
254.13	3100.0	66.218	0.015102	4.7358	5.6227	22.103	40.288	76.985	2786.7	-0.0016781	9.4416e-05	0.14181	liquid
254.20	3100.0	66.205	0.015105	4.7408	5.6278	22.124	40.287	76.993	2785.6	-0.0016746	9.4352e-05	0.14175	liquid
254.27	3100.0	66.192	0.015108	4.7457	5.6329	22.144	40.286	77.000	2784.5	-0.0016712	9.4289e-05	0.14168	liquid
254.33	3100.0	66.179	0.015111	4.7507	5.6381	22.164	40.285	77.008	2783.4	-0.0016678	9.4225e-05	0.14162	liquid
