Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	2700.0	66.576	0.015020	4.5066	5.2749	21.176	40.301	77.346	2798.0	-0.0016876	9.6432e-05	0.14354	liquid
250.07	2700.0	66.563	0.015023	4.5116	5.2800	21.197	40.300	77.354	2796.8	-0.0016841	9.6365e-05	0.14347	liquid
250.13	2700.0	66.550	0.015026	4.5166	5.2852	21.218	40.299	77.362	2795.6	-0.0016806	9.6297e-05	0.14340	liquid
250.20	2700.0	66.537	0.015029	4.5216	5.2903	21.238	40.298	77.370	2794.5	-0.0016771	9.6230e-05	0.14334	liquid
250.27	2700.0	66.523	0.015032	4.5266	5.2955	21.259	40.297	77.379	2793.3	-0.0016736	9.6163e-05	0.14327	liquid
250.33	2700.0	66.510	0.015035	4.5316	5.3007	21.279	40.295	77.387	2792.1	-0.0016700	9.6096e-05	0.14321	liquid
250.40	2700.0	66.497	0.015038	4.5366	5.3058	21.300	40.294	77.395	2791.0	-0.0016665	9.6029e-05	0.14314	liquid
250.47	2700.0	66.484	0.015041	4.5416	5.3110	21.321	40.293	77.403	2789.8	-0.0016630	9.5962e-05	0.14307	liquid
250.53	2700.0	66.470	0.015044	4.5466	5.3161	21.341	40.292	77.411	2788.7	-0.0016595	9.5895e-05	0.14301	liquid
250.60	2700.0	66.457	0.015047	4.5516	5.3213	21.362	40.291	77.419	2787.5	-0.0016559	9.5828e-05	0.14294	liquid
250.67	2700.0	66.444	0.015050	4.5566	5.3265	21.382	40.290	77.428	2786.3	-0.0016524	9.5761e-05	0.14287	liquid
250.73	2700.0	66.431	0.015053	4.5617	5.3316	21.403	40.289	77.436	2785.2	-0.0016488	9.5694e-05	0.14281	liquid
250.80	2700.0	66.417	0.015056	4.5667	5.3368	21.424	40.288	77.444	2784.0	-0.0016453	9.5628e-05	0.14274	liquid
250.87	2700.0	66.404	0.015059	4.5717	5.3419	21.444	40.286	77.452	2782.8	-0.0016417	9.5561e-05	0.14267	liquid
250.93	2700.0	66.391	0.015062	4.5767	5.3471	21.465	40.285	77.461	2781.7	-0.0016382	9.5494e-05	0.14261	liquid
251.00	2700.0	66.378	0.015065	4.5817	5.3523	21.485	40.284	77.469	2780.5	-0.0016346	9.5428e-05	0.14254	liquid
251.07	2700.0	66.364	0.015068	4.5867	5.3574	21.506	40.283	77.477	2779.4	-0.0016310	9.5362e-05	0.14248	liquid
251.13	2700.0	66.351	0.015071	4.5917	5.3626	21.527	40.282	77.486	2778.2	-0.0016275	9.5295e-05	0.14241	liquid
251.20	2700.0	66.338	0.015074	4.5967	5.3678	21.547	40.281	77.494	2777.0	-0.0016239	9.5229e-05	0.14234	liquid
251.27	2700.0	66.324	0.015077	4.6017	5.3729	21.568	40.280	77.502	2775.9	-0.0016203	9.5163e-05	0.14228	liquid
251.33	2700.0	66.311	0.015080	4.6067	5.3781	21.588	40.279	77.510	2774.7	-0.0016167	9.5096e-05	0.14221	liquid
251.40	2700.0	66.298	0.015083	4.6118	5.3833	21.609	40.278	77.519	2773.5	-0.0016131	9.5030e-05	0.14215	liquid
251.47	2700.0	66.285	0.015086	4.6168	5.3884	21.629	40.276	77.527	2772.4	-0.0016095	9.4964e-05	0.14208	liquid
251.53	2700.0	66.271	0.015090	4.6218	5.3936	21.650	40.275	77.536	2771.2	-0.0016059	9.4898e-05	0.14201	liquid
251.60	2700.0	66.258	0.015093	4.6268	5.3988	21.670	40.274	77.544	2770.1	-0.0016023	9.4832e-05	0.14195	liquid
251.67	2700.0	66.245	0.015096	4.6318	5.4039	21.691	40.273	77.552	2768.9	-0.0015987	9.4767e-05	0.14188	liquid
251.73	2700.0	66.231	0.015099	4.6368	5.4091	21.712	40.272	77.561	2767.7	-0.0015951	9.4701e-05	0.14181	liquid
251.80	2700.0	66.218	0.015102	4.6418	5.4143	21.732	40.271	77.569	2766.6	-0.0015914	9.4635e-05	0.14175	liquid
251.87	2700.0	66.205	0.015105	4.6469	5.4195	21.753	40.270	77.578	2765.4	-0.0015878	9.4569e-05	0.14168	liquid
251.93	2700.0	66.191	0.015108	4.6519	5.4246	21.773	40.269	77.586	2764.3	-0.0015842	9.4504e-05	0.14162	liquid
252.00	2700.0	66.178	0.015111	4.6569	5.4298	21.794	40.268	77.594	2763.1	-0.0015805	9.4438e-05	0.14155	liquid
252.07	2700.0	66.165	0.015114	4.6619	5.4350	21.814	40.267	77.603	2761.9	-0.0015769	9.4373e-05	0.14148	liquid
252.13	2700.0	66.151	0.015117	4.6669	5.4402	21.835	40.265	77.611	2760.8	-0.0015733	9.4307e-05	0.14142	liquid
252.20	2700.0	66.138	0.015120	4.6720	5.4453	21.855	40.264	77.620	2759.6	-0.0015696	9.4242e-05	0.14135	liquid
252.27	2700.0	66.125	0.015123	4.6770	5.4505	21.876	40.263	77.628	2758.5	-0.0015659	9.4177e-05	0.14129	liquid
252.33	2700.0	66.111	0.015126	4.6820	5.4557	21.896	40.262	77.637	2757.3	-0.0015623	9.4111e-05	0.14122	liquid
252.40	2700.0	66.098	0.015129	4.6870	5.4609	21.917	40.261	77.645	2756.1	-0.0015586	9.4046e-05	0.14115	liquid
252.47	2700.0	66.084	0.015132	4.6920	5.4660	21.937	40.260	77.654	2755.0	-0.0015549	9.3981e-05	0.14109	liquid
252.53	2700.0	66.071	0.015135	4.6970	5.4712	21.958	40.259	77.662	2753.8	-0.0015513	9.3916e-05	0.14102	liquid
252.60	2700.0	66.058	0.015138	4.7021	5.4764	21.978	40.258	77.671	2752.6	-0.0015476	9.3851e-05	0.14096	liquid
252.67	2700.0	66.044	0.015141	4.7071	5.4816	21.999	40.257	77.680	2751.5	-0.0015439	9.3786e-05	0.14089	liquid
252.73	2700.0	66.031	0.015144	4.7121	5.4867	22.019	40.256	77.688	2750.3	-0.0015402	9.3721e-05	0.14082	liquid
252.80	2700.0	66.018	0.015147	4.7171	5.4919	22.040	40.255	77.697	2749.2	-0.0015365	9.3657e-05	0.14076	liquid
252.87	2700.0	66.004	0.015151	4.7222	5.4971	22.060	40.254	77.705	2748.0	-0.0015328	9.3592e-05	0.14069	liquid
252.93	2700.0	65.991	0.015154	4.7272	5.5023	22.081	40.253	77.714	2746.8	-0.0015291	9.3527e-05	0.14063	liquid
253.00	2700.0	65.977	0.015157	4.7322	5.5075	22.101	40.252	77.723	2745.7	-0.0015254	9.3463e-05	0.14056	liquid
253.07	2700.0	65.964	0.015160	4.7372	5.5126	22.122	40.250	77.731	2744.5	-0.0015217	9.3398e-05	0.14049	liquid
253.13	2700.0	65.951	0.015163	4.7423	5.5178	22.142	40.249	77.740	2743.4	-0.0015179	9.3333e-05	0.14043	liquid
253.20	2700.0	65.937	0.015166	4.7473	5.5230	22.163	40.248	77.748	2742.2	-0.0015142	9.3269e-05	0.14036	liquid
253.27	2700.0	65.924	0.015169	4.7523	5.5282	22.183	40.247	77.757	2741.0	-0.0015105	9.3205e-05	0.14030	liquid
253.33	2700.0	65.910	0.015172	4.7573	5.5334	22.204	40.246	77.766	2739.9	-0.0015067	9.3140e-05	0.14023	liquid
253.40	2700.0	65.897	0.015175	4.7624	5.5386	22.224	40.245	77.775	2738.7	-0.0015030	9.3076e-05	0.14016	liquid
253.47	2700.0	65.883	0.015178	4.7674	5.5437	22.245	40.244	77.783	2737.6	-0.0014993	9.3012e-05	0.14010	liquid
253.53	2700.0	65.870	0.015181	4.7724	5.5489	22.265	40.243	77.792	2736.4	-0.0014955	9.2948e-05	0.14003	liquid
253.60	2700.0	65.857	0.015184	4.7774	5.5541	22.285	40.242	77.801	2735.2	-0.0014917	9.2884e-05	0.13997	liquid
253.67	2700.0	65.843	0.015188	4.7825	5.5593	22.306	40.241	77.809	2734.1	-0.0014880	9.2820e-05	0.13990	liquid
253.73	2700.0	65.830	0.015191	4.7875	5.5645	22.326	40.240	77.818	2732.9	-0.0014842	9.2756e-05	0.13984	liquid
253.80	2700.0	65.816	0.015194	4.7925	5.5697	22.347	40.239	77.827	2731.8	-0.0014804	9.2692e-05	0.13977	liquid
253.87	2700.0	65.803	0.015197	4.7976	5.5749	22.367	40.238	77.836	2730.6	-0.0014767	9.2628e-05	0.13970	liquid
253.93	2700.0	65.789	0.015200	4.8026	5.5801	22.388	40.237	77.844	2729.4	-0.0014729	9.2564e-05	0.13964	liquid
254.00	2700.0	65.776	0.015203	4.8076	5.5853	22.408	40.236	77.853	2728.3	-0.0014691	9.2500e-05	0.13957	liquid
254.07	2700.0	65.763	0.015206	4.8127	5.5904	22.429	40.235	77.862	2727.1	-0.0014653	9.2437e-05	0.13951	liquid
254.13	2700.0	65.749	0.015209	4.8177	5.5956	22.449	40.234	77.871	2726.0	-0.0014615	9.2373e-05	0.13944	liquid
254.20	2700.0	65.736	0.015212	4.8227	5.6008	22.469	40.233	77.880	2724.8	-0.0014577	9.2310e-05	0.13938	liquid
254.27	2700.0	65.722	0.015216	4.8277	5.6060	22.490	40.232	77.889	2723.7	-0.0014539	9.2246e-05	0.13931	liquid
254.33	2700.0	65.709	0.015219	4.8328	5.6112	22.510	40.231	77.897	2722.5	-0.0014501	9.2183e-05	0.13924	liquid
254.40	2700.0	65.695	0.015222	4.8378	5.6164	22.531	40.230	77.906	2721.3	-0.0014462	9.2119e-05	0.13918	liquid
254.47	2700.0	65.682	0.015225	4.8428	5.6216	22.551	40.228	77.915	2720.2	-0.0014424	9.2056e-05	0.13911	liquid
254.53	2700.0	65.668	0.015228	4.8479	5.6268	22.571	40.227	77.924	2719.0	-0.0014386	9.1993e-05	0.13905	liquid
254.60	2700.0	65.655	0.015231	4.8529	5.6320	22.592	40.226	77.933	2717.9	-0.0014348	9.1929e-05	0.13898	liquid
