Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	3300.0	67.231	0.014874	4.3919	5.3217	20.684	40.387	76.171	2884.9	-0.0019700	9.9495e-05	0.14695	liquid
250.07	3300.0	67.219	0.014877	4.3968	5.3268	20.705	40.385	76.178	2883.8	-0.0019670	9.9428e-05	0.14688	liquid
250.13	3300.0	67.206	0.014880	4.4017	5.3319	20.725	40.384	76.184	2882.6	-0.0019640	9.9360e-05	0.14682	liquid
250.20	3300.0	67.193	0.014882	4.4066	5.3370	20.745	40.383	76.190	2881.5	-0.0019610	9.9292e-05	0.14675	liquid
250.27	3300.0	67.181	0.014885	4.4115	5.3421	20.766	40.382	76.197	2880.4	-0.0019580	9.9225e-05	0.14669	liquid
250.33	3300.0	67.168	0.014888	4.4164	5.3471	20.786	40.381	76.203	2879.3	-0.0019550	9.9157e-05	0.14662	liquid
250.40	3300.0	67.156	0.014891	4.4213	5.3522	20.806	40.380	76.210	2878.2	-0.0019520	9.9090e-05	0.14656	liquid
250.47	3300.0	67.143	0.014894	4.4262	5.3573	20.826	40.378	76.216	2877.1	-0.0019490	9.9023e-05	0.14649	liquid
250.53	3300.0	67.130	0.014896	4.4311	5.3624	20.847	40.377	76.222	2876.0	-0.0019459	9.8955e-05	0.14643	liquid
250.60	3300.0	67.118	0.014899	4.4360	5.3675	20.867	40.376	76.229	2874.8	-0.0019429	9.8888e-05	0.14636	liquid
250.67	3300.0	67.105	0.014902	4.4409	5.3725	20.887	40.375	76.235	2873.7	-0.0019399	9.8821e-05	0.14630	liquid
250.73	3300.0	67.092	0.014905	4.4458	5.3776	20.908	40.374	76.242	2872.6	-0.0019369	9.8754e-05	0.14623	liquid
250.80	3300.0	67.080	0.014908	4.4507	5.3827	20.928	40.373	76.248	2871.5	-0.0019338	9.8687e-05	0.14617	liquid
250.87	3300.0	67.067	0.014910	4.4556	5.3878	20.948	40.371	76.255	2870.4	-0.0019308	9.8620e-05	0.14611	liquid
250.93	3300.0	67.054	0.014913	4.4606	5.3929	20.968	40.370	76.261	2869.3	-0.0019278	9.8553e-05	0.14604	liquid
251.00	3300.0	67.042	0.014916	4.4655	5.3980	20.989	40.369	76.268	2868.2	-0.0019247	9.8486e-05	0.14598	liquid
251.07	3300.0	67.029	0.014919	4.4704	5.4030	21.009	40.368	76.274	2867.1	-0.0019217	9.8419e-05	0.14591	liquid
251.13	3300.0	67.016	0.014922	4.4753	5.4081	21.029	40.367	76.281	2866.0	-0.0019186	9.8353e-05	0.14585	liquid
251.20	3300.0	67.004	0.014925	4.4802	5.4132	21.049	40.366	76.287	2864.8	-0.0019156	9.8286e-05	0.14578	liquid
251.27	3300.0	66.991	0.014927	4.4851	5.4183	21.070	40.365	76.294	2863.7	-0.0019125	9.8220e-05	0.14572	liquid
251.33	3300.0	66.978	0.014930	4.4900	5.4234	21.090	40.363	76.300	2862.6	-0.0019095	9.8153e-05	0.14565	liquid
251.40	3300.0	66.966	0.014933	4.4949	5.4285	21.110	40.362	76.307	2861.5	-0.0019064	9.8087e-05	0.14559	liquid
251.47	3300.0	66.953	0.014936	4.4998	5.4336	21.130	40.361	76.313	2860.4	-0.0019033	9.8020e-05	0.14553	liquid
251.53	3300.0	66.940	0.014939	4.5047	5.4386	21.151	40.360	76.320	2859.3	-0.0019002	9.7954e-05	0.14546	liquid
251.60	3300.0	66.928	0.014942	4.5096	5.4437	21.171	40.359	76.326	2858.2	-0.0018972	9.7888e-05	0.14540	liquid
251.67	3300.0	66.915	0.014944	4.5146	5.4488	21.191	40.358	76.333	2857.1	-0.0018941	9.7822e-05	0.14533	liquid
251.73	3300.0	66.902	0.014947	4.5195	5.4539	21.211	40.357	76.340	2855.9	-0.0018910	9.7756e-05	0.14527	liquid
251.80	3300.0	66.889	0.014950	4.5244	5.4590	21.231	40.355	76.346	2854.8	-0.0018879	9.7690e-05	0.14520	liquid
251.87	3300.0	66.877	0.014953	4.5293	5.4641	21.252	40.354	76.353	2853.7	-0.0018848	9.7624e-05	0.14514	liquid
251.93	3300.0	66.864	0.014956	4.5342	5.4692	21.272	40.353	76.359	2852.6	-0.0018817	9.7558e-05	0.14508	liquid
252.00	3300.0	66.851	0.014959	4.5391	5.4743	21.292	40.352	76.366	2851.5	-0.0018786	9.7492e-05	0.14501	liquid
252.07	3300.0	66.839	0.014961	4.5440	5.4794	21.312	40.351	76.373	2850.4	-0.0018755	9.7426e-05	0.14495	liquid
252.13	3300.0	66.826	0.014964	4.5490	5.4845	21.332	40.350	76.379	2849.3	-0.0018724	9.7360e-05	0.14488	liquid
252.20	3300.0	66.813	0.014967	4.5539	5.4895	21.353	40.349	76.386	2848.2	-0.0018693	9.7295e-05	0.14482	liquid
252.27	3300.0	66.800	0.014970	4.5588	5.4946	21.373	40.348	76.393	2847.1	-0.0018662	9.7229e-05	0.14475	liquid
252.33	3300.0	66.788	0.014973	4.5637	5.4997	21.393	40.346	76.399	2846.0	-0.0018631	9.7164e-05	0.14469	liquid
252.40	3300.0	66.775	0.014976	4.5686	5.5048	21.413	40.345	76.406	2844.8	-0.0018600	9.7098e-05	0.14463	liquid
252.47	3300.0	66.762	0.014979	4.5735	5.5099	21.433	40.344	76.413	2843.7	-0.0018568	9.7033e-05	0.14456	liquid
252.53	3300.0	66.750	0.014981	4.5784	5.5150	21.454	40.343	76.419	2842.6	-0.0018537	9.6968e-05	0.14450	liquid
252.60	3300.0	66.737	0.014984	4.5834	5.5201	21.474	40.342	76.426	2841.5	-0.0018506	9.6902e-05	0.14443	liquid
252.67	3300.0	66.724	0.014987	4.5883	5.5252	21.494	40.341	76.433	2840.4	-0.0018474	9.6837e-05	0.14437	liquid
252.73	3300.0	66.711	0.014990	4.5932	5.5303	21.514	40.340	76.439	2839.3	-0.0018443	9.6772e-05	0.14431	liquid
252.80	3300.0	66.699	0.014993	4.5981	5.5354	21.534	40.339	76.446	2838.2	-0.0018411	9.6707e-05	0.14424	liquid
252.87	3300.0	66.686	0.014996	4.6030	5.5405	21.554	40.338	76.453	2837.1	-0.0018380	9.6642e-05	0.14418	liquid
252.93	3300.0	66.673	0.014999	4.6079	5.5456	21.575	40.336	76.459	2836.0	-0.0018348	9.6577e-05	0.14411	liquid
253.00	3300.0	66.660	0.015001	4.6129	5.5507	21.595	40.335	76.466	2834.9	-0.0018317	9.6512e-05	0.14405	liquid
253.07	3300.0	66.648	0.015004	4.6178	5.5558	21.615	40.334	76.473	2833.8	-0.0018285	9.6447e-05	0.14398	liquid
253.13	3300.0	66.635	0.015007	4.6227	5.5609	21.635	40.333	76.480	2832.6	-0.0018254	9.6382e-05	0.14392	liquid
253.20	3300.0	66.622	0.015010	4.6276	5.5660	21.655	40.332	76.486	2831.5	-0.0018222	9.6318e-05	0.14386	liquid
253.27	3300.0	66.609	0.015013	4.6325	5.5711	21.675	40.331	76.493	2830.4	-0.0018190	9.6253e-05	0.14379	liquid
253.33	3300.0	66.597	0.015016	4.6375	5.5762	21.695	40.330	76.500	2829.3	-0.0018158	9.6189e-05	0.14373	liquid
253.40	3300.0	66.584	0.015019	4.6424	5.5813	21.716	40.329	76.507	2828.2	-0.0018127	9.6124e-05	0.14366	liquid
253.47	3300.0	66.571	0.015022	4.6473	5.5864	21.736	40.328	76.514	2827.1	-0.0018095	9.6060e-05	0.14360	liquid
253.53	3300.0	66.558	0.015024	4.6522	5.5915	21.756	40.327	76.520	2826.0	-0.0018063	9.5995e-05	0.14354	liquid
253.60	3300.0	66.545	0.015027	4.6571	5.5966	21.776	40.326	76.527	2824.9	-0.0018031	9.5931e-05	0.14347	liquid
253.67	3300.0	66.533	0.015030	4.6621	5.6017	21.796	40.324	76.534	2823.8	-0.0017999	9.5867e-05	0.14341	liquid
253.73	3300.0	66.520	0.015033	4.6670	5.6068	21.816	40.323	76.541	2822.7	-0.0017967	9.5802e-05	0.14334	liquid
253.80	3300.0	66.507	0.015036	4.6719	5.6119	21.836	40.322	76.548	2821.6	-0.0017935	9.5738e-05	0.14328	liquid
253.87	3300.0	66.494	0.015039	4.6768	5.6170	21.856	40.321	76.555	2820.5	-0.0017903	9.5674e-05	0.14322	liquid
253.93	3300.0	66.481	0.015042	4.6817	5.6221	21.876	40.320	76.561	2819.3	-0.0017871	9.5610e-05	0.14315	liquid
254.00	3300.0	66.469	0.015045	4.6867	5.6272	21.897	40.319	76.568	2818.2	-0.0017838	9.5546e-05	0.14309	liquid
254.07	3300.0	66.456	0.015048	4.6916	5.6323	21.917	40.318	76.575	2817.1	-0.0017806	9.5482e-05	0.14303	liquid
254.13	3300.0	66.443	0.015050	4.6965	5.6374	21.937	40.317	76.582	2816.0	-0.0017774	9.5419e-05	0.14296	liquid
254.20	3300.0	66.430	0.015053	4.7014	5.6425	21.957	40.316	76.589	2814.9	-0.0017742	9.5355e-05	0.14290	liquid
254.27	3300.0	66.417	0.015056	4.7064	5.6476	21.977	40.315	76.596	2813.8	-0.0017709	9.5291e-05	0.14283	liquid
254.33	3300.0	66.405	0.015059	4.7113	5.6527	21.997	40.314	76.603	2812.7	-0.0017677	9.5227e-05	0.14277	liquid
254.40	3300.0	66.392	0.015062	4.7162	5.6578	22.017	40.313	76.610	2811.6	-0.0017645	9.5164e-05	0.14271	liquid
254.47	3300.0	66.379	0.015065	4.7211	5.6629	22.037	40.312	76.617	2810.5	-0.0017612	9.5100e-05	0.14264	liquid
254.53	3300.0	66.366	0.015068	4.7261	5.6681	22.057	40.310	76.623	2809.4	-0.0017580	9.5037e-05	0.14258	liquid
254.60	3300.0	66.353	0.015071	4.7310	5.6732	22.077	40.309	76.630	2808.3	-0.0017547	9.4973e-05	0.14251	liquid
254.67	3300.0	66.340	0.015074	4.7359	5.6783	22.097	40.308	76.637	2807.2	-0.0017515	9.4910e-05	0.14245	liquid
254.73	3300.0	66.328	0.015077	4.7409	5.6834	22.117	40.307	76.644	2806.1	-0.0017482	9.4847e-05	0.14239	liquid
254.80	3300.0	66.315	0.015080	4.7458	5.6885	22.137	40.306	76.651	2805.0	-0.0017449	9.4784e-05	0.14232	liquid
254.87	3300.0	66.302	0.015083	4.7507	5.6936	22.157	40.305	76.658	2803.9	-0.0017417	9.4720e-05	0.14226	liquid
254.93	3300.0	66.289	0.015085	4.7556	5.6987	22.178	40.304	76.665	2802.7	-0.0017384	9.4657e-05	0.14220	liquid
255.00	3300.0	66.276	0.015088	4.7606	5.7038	22.198	40.303	76.672	2801.6	-0.0017351	9.4594e-05	0.14213	liquid
255.07	3300.0	66.263	0.015091	4.7655	5.7089	22.218	40.302	76.679	2800.5	-0.0017318	9.4531e-05	0.14207	liquid
255.13	3300.0	66.251	0.015094	4.7704	5.7140	22.238	40.301	76.686	2799.4	-0.0017286	9.4468e-05	0.14200	liquid
255.20	3300.0	66.238	0.015097	4.7753	5.7192	22.258	40.300	76.693	2798.3	-0.0017253	9.4405e-05	0.14194	liquid
