Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	3400.0	67.336	0.014851	4.3736	5.3302	20.605	40.401	75.994	2898.8	-0.0020128	9.9996e-05	0.14750	liquid
250.07	3400.0	67.323	0.014854	4.3785	5.3352	20.626	40.400	76.001	2897.7	-0.0020099	9.9928e-05	0.14743	liquid
250.13	3400.0	67.311	0.014856	4.3834	5.3403	20.646	40.399	76.007	2896.6	-0.0020070	9.9861e-05	0.14737	liquid
250.20	3400.0	67.298	0.014859	4.3883	5.3454	20.666	40.398	76.013	2895.5	-0.0020041	9.9793e-05	0.14730	liquid
250.27	3400.0	67.286	0.014862	4.3932	5.3504	20.686	40.397	76.019	2894.4	-0.0020011	9.9725e-05	0.14724	liquid
250.33	3400.0	67.273	0.014865	4.3980	5.3555	20.707	40.396	76.025	2893.3	-0.0019982	9.9658e-05	0.14717	liquid
250.40	3400.0	67.260	0.014868	4.4029	5.3606	20.727	40.394	76.031	2892.2	-0.0019953	9.9590e-05	0.14711	liquid
250.47	3400.0	67.248	0.014870	4.4078	5.3656	20.747	40.393	76.037	2891.0	-0.0019923	9.9523e-05	0.14705	liquid
250.53	3400.0	67.235	0.014873	4.4127	5.3707	20.767	40.392	76.044	2889.9	-0.0019894	9.9456e-05	0.14698	liquid
250.60	3400.0	67.223	0.014876	4.4176	5.3758	20.788	40.391	76.050	2888.8	-0.0019864	9.9388e-05	0.14692	liquid
250.67	3400.0	67.210	0.014879	4.4225	5.3808	20.808	40.390	76.056	2887.7	-0.0019835	9.9321e-05	0.14685	liquid
250.73	3400.0	67.198	0.014881	4.4274	5.3859	20.828	40.389	76.062	2886.6	-0.0019805	9.9254e-05	0.14679	liquid
250.80	3400.0	67.185	0.014884	4.4323	5.3910	20.848	40.387	76.068	2885.5	-0.0019776	9.9187e-05	0.14672	liquid
250.87	3400.0	67.173	0.014887	4.4372	5.3961	20.868	40.386	76.075	2884.4	-0.0019746	9.9120e-05	0.14666	liquid
250.93	3400.0	67.160	0.014890	4.4421	5.4011	20.889	40.385	76.081	2883.3	-0.0019716	9.9053e-05	0.14660	liquid
251.00	3400.0	67.147	0.014893	4.4470	5.4062	20.909	40.384	76.087	2882.2	-0.0019687	9.8986e-05	0.14653	liquid
251.07	3400.0	67.135	0.014895	4.4518	5.4113	20.929	40.383	76.093	2881.1	-0.0019657	9.8919e-05	0.14647	liquid
251.13	3400.0	67.122	0.014898	4.4567	5.4163	20.949	40.382	76.100	2880.0	-0.0019627	9.8853e-05	0.14640	liquid
251.20	3400.0	67.110	0.014901	4.4616	5.4214	20.970	40.380	76.106	2878.9	-0.0019598	9.8786e-05	0.14634	liquid
251.27	3400.0	67.097	0.014904	4.4665	5.4265	20.990	40.379	76.112	2877.8	-0.0019568	9.8719e-05	0.14627	liquid
251.33	3400.0	67.085	0.014907	4.4714	5.4316	21.010	40.378	76.118	2876.7	-0.0019538	9.8653e-05	0.14621	liquid
251.40	3400.0	67.072	0.014909	4.4763	5.4366	21.030	40.377	76.125	2875.6	-0.0019508	9.8586e-05	0.14615	liquid
251.47	3400.0	67.059	0.014912	4.4812	5.4417	21.050	40.376	76.131	2874.5	-0.0019478	9.8520e-05	0.14608	liquid
251.53	3400.0	67.047	0.014915	4.4861	5.4468	21.070	40.375	76.137	2873.4	-0.0019448	9.8453e-05	0.14602	liquid
251.60	3400.0	67.034	0.014918	4.4910	5.4519	21.091	40.374	76.144	2872.3	-0.0019418	9.8387e-05	0.14595	liquid
251.67	3400.0	67.022	0.014921	4.4959	5.4569	21.111	40.372	76.150	2871.2	-0.0019388	9.8321e-05	0.14589	liquid
251.73	3400.0	67.009	0.014923	4.5008	5.4620	21.131	40.371	76.156	2870.1	-0.0019358	9.8255e-05	0.14583	liquid
251.80	3400.0	66.996	0.014926	4.5057	5.4671	21.151	40.370	76.163	2869.0	-0.0019328	9.8189e-05	0.14576	liquid
251.87	3400.0	66.984	0.014929	4.5106	5.4722	21.171	40.369	76.169	2867.9	-0.0019298	9.8123e-05	0.14570	liquid
251.93	3400.0	66.971	0.014932	4.5155	5.4773	21.191	40.368	76.175	2866.8	-0.0019268	9.8057e-05	0.14563	liquid
252.00	3400.0	66.958	0.014935	4.5204	5.4823	21.212	40.367	76.182	2865.7	-0.0019237	9.7991e-05	0.14557	liquid
252.07	3400.0	66.946	0.014937	4.5253	5.4874	21.232	40.366	76.188	2864.5	-0.0019207	9.7925e-05	0.14551	liquid
252.13	3400.0	66.933	0.014940	4.5302	5.4925	21.252	40.364	76.194	2863.4	-0.0019177	9.7859e-05	0.14544	liquid
252.20	3400.0	66.921	0.014943	4.5351	5.4976	21.272	40.363	76.201	2862.3	-0.0019146	9.7793e-05	0.14538	liquid
252.27	3400.0	66.908	0.014946	4.5400	5.5026	21.292	40.362	76.207	2861.2	-0.0019116	9.7728e-05	0.14531	liquid
252.33	3400.0	66.895	0.014949	4.5449	5.5077	21.312	40.361	76.214	2860.1	-0.0019086	9.7662e-05	0.14525	liquid
252.40	3400.0	66.883	0.014952	4.5498	5.5128	21.333	40.360	76.220	2859.0	-0.0019055	9.7597e-05	0.14519	liquid
252.47	3400.0	66.870	0.014954	4.5547	5.5179	21.353	40.359	76.226	2857.9	-0.0019025	9.7531e-05	0.14512	liquid
252.53	3400.0	66.857	0.014957	4.5596	5.5230	21.373	40.358	76.233	2856.8	-0.0018994	9.7466e-05	0.14506	liquid
252.60	3400.0	66.845	0.014960	4.5645	5.5281	21.393	40.357	76.239	2855.7	-0.0018964	9.7401e-05	0.14499	liquid
252.67	3400.0	66.832	0.014963	4.5694	5.5331	21.413	40.356	76.246	2854.6	-0.0018933	9.7335e-05	0.14493	liquid
252.73	3400.0	66.820	0.014966	4.5743	5.5382	21.433	40.354	76.252	2853.5	-0.0018902	9.7270e-05	0.14487	liquid
252.80	3400.0	66.807	0.014969	4.5792	5.5433	21.453	40.353	76.259	2852.4	-0.0018872	9.7205e-05	0.14480	liquid
252.87	3400.0	66.794	0.014971	4.5841	5.5484	21.473	40.352	76.265	2851.3	-0.0018841	9.7140e-05	0.14474	liquid
252.93	3400.0	66.782	0.014974	4.5890	5.5535	21.493	40.351	76.271	2850.2	-0.0018810	9.7075e-05	0.14468	liquid
253.00	3400.0	66.769	0.014977	4.5939	5.5586	21.514	40.350	76.278	2849.1	-0.0018780	9.7010e-05	0.14461	liquid
253.07	3400.0	66.756	0.014980	4.5988	5.5636	21.534	40.349	76.284	2848.0	-0.0018749	9.6945e-05	0.14455	liquid
253.13	3400.0	66.744	0.014983	4.6037	5.5687	21.554	40.348	76.291	2846.9	-0.0018718	9.6880e-05	0.14448	liquid
253.20	3400.0	66.731	0.014986	4.6086	5.5738	21.574	40.347	76.297	2845.8	-0.0018687	9.6816e-05	0.14442	liquid
253.27	3400.0	66.718	0.014988	4.6135	5.5789	21.594	40.346	76.304	2844.7	-0.0018656	9.6751e-05	0.14436	liquid
253.33	3400.0	66.706	0.014991	4.6184	5.5840	21.614	40.344	76.310	2843.6	-0.0018625	9.6686e-05	0.14429	liquid
253.40	3400.0	66.693	0.014994	4.6233	5.5891	21.634	40.343	76.317	2842.5	-0.0018594	9.6622e-05	0.14423	liquid
253.47	3400.0	66.680	0.014997	4.6282	5.5942	21.654	40.342	76.323	2841.4	-0.0018563	9.6557e-05	0.14417	liquid
253.53	3400.0	66.668	0.015000	4.6331	5.5993	21.674	40.341	76.330	2840.3	-0.0018532	9.6493e-05	0.14410	liquid
253.60	3400.0	66.655	0.015003	4.6380	5.6043	21.694	40.340	76.337	2839.2	-0.0018501	9.6428e-05	0.14404	liquid
253.67	3400.0	66.642	0.015006	4.6429	5.6094	21.714	40.339	76.343	2838.1	-0.0018470	9.6364e-05	0.14397	liquid
253.73	3400.0	66.630	0.015008	4.6478	5.6145	21.734	40.338	76.350	2837.0	-0.0018439	9.6300e-05	0.14391	liquid
253.80	3400.0	66.617	0.015011	4.6527	5.6196	21.754	40.337	76.356	2835.9	-0.0018407	9.6236e-05	0.14385	liquid
253.87	3400.0	66.604	0.015014	4.6576	5.6247	21.775	40.336	76.363	2834.8	-0.0018376	9.6171e-05	0.14378	liquid
253.93	3400.0	66.591	0.015017	4.6625	5.6298	21.795	40.335	76.369	2833.7	-0.0018345	9.6107e-05	0.14372	liquid
254.00	3400.0	66.579	0.015020	4.6675	5.6349	21.815	40.334	76.376	2832.6	-0.0018314	9.6043e-05	0.14366	liquid
254.07	3400.0	66.566	0.015023	4.6724	5.6400	21.835	40.332	76.383	2831.5	-0.0018282	9.5979e-05	0.14359	liquid
254.13	3400.0	66.553	0.015026	4.6773	5.6451	21.855	40.331	76.389	2830.4	-0.0018251	9.5915e-05	0.14353	liquid
254.20	3400.0	66.541	0.015028	4.6822	5.6502	21.875	40.330	76.396	2829.3	-0.0018219	9.5852e-05	0.14347	liquid
254.27	3400.0	66.528	0.015031	4.6871	5.6553	21.895	40.329	76.402	2828.2	-0.0018188	9.5788e-05	0.14340	liquid
254.33	3400.0	66.515	0.015034	4.6920	5.6603	21.915	40.328	76.409	2827.1	-0.0018156	9.5724e-05	0.14334	liquid
254.40	3400.0	66.502	0.015037	4.6969	5.6654	21.935	40.327	76.416	2826.0	-0.0018125	9.5661e-05	0.14327	liquid
254.47	3400.0	66.490	0.015040	4.7018	5.6705	21.955	40.326	76.422	2824.9	-0.0018093	9.5597e-05	0.14321	liquid
254.53	3400.0	66.477	0.015043	4.7067	5.6756	21.975	40.325	76.429	2823.8	-0.0018061	9.5533e-05	0.14315	liquid
254.60	3400.0	66.464	0.015046	4.7116	5.6807	21.995	40.324	76.436	2822.7	-0.0018030	9.5470e-05	0.14308	liquid
254.67	3400.0	66.452	0.015049	4.7165	5.6858	22.015	40.323	76.442	2821.6	-0.0017998	9.5407e-05	0.14302	liquid
254.73	3400.0	66.439	0.015051	4.7215	5.6909	22.035	40.322	76.449	2820.5	-0.0017966	9.5343e-05	0.14296	liquid
254.80	3400.0	66.426	0.015054	4.7264	5.6960	22.055	40.321	76.456	2819.4	-0.0017934	9.5280e-05	0.14289	liquid
254.87	3400.0	66.413	0.015057	4.7313	5.7011	22.075	40.320	76.462	2818.3	-0.0017903	9.5217e-05	0.14283	liquid
254.93	3400.0	66.401	0.015060	4.7362	5.7062	22.095	40.319	76.469	2817.2	-0.0017871	9.5154e-05	0.14277	liquid
255.00	3400.0	66.388	0.015063	4.7411	5.7113	22.115	40.317	76.476	2816.1	-0.0017839	9.5090e-05	0.14270	liquid
255.07	3400.0	66.375	0.015066	4.7460	5.7164	22.135	40.316	76.482	2815.0	-0.0017807	9.5027e-05	0.14264	liquid
255.13	3400.0	66.362	0.015069	4.7509	5.7215	22.155	40.315	76.489	2813.9	-0.0017775	9.4964e-05	0.14258	liquid
255.20	3400.0	66.350	0.015072	4.7558	5.7266	22.175	40.314	76.496	2812.8	-0.0017743	9.4902e-05	0.14251	liquid
255.27	3400.0	66.337	0.015075	4.7607	5.7317	22.195	40.313	76.503	2811.7	-0.0017711	9.4839e-05	0.14245	liquid
255.33	3400.0	66.324	0.015077	4.7657	5.7368	22.215	40.312	76.509	2810.6	-0.0017679	9.4776e-05	0.14239	liquid
255.40	3400.0	66.311	0.015080	4.7706	5.7419	22.235	40.311	76.516	2809.5	-0.0017647	9.4713e-05	0.14232	liquid
255.47	3400.0	66.299	0.015083	4.7755	5.7470	22.255	40.310	76.523	2808.5	-0.0017614	9.4650e-05	0.14226	liquid
255.53	3400.0	66.286	0.015086	4.7804	5.7521	22.275	40.309	76.530	2807.4	-0.0017582	9.4588e-05	0.14220	liquid
255.60	3400.0	66.273	0.015089	4.7853	5.7572	22.295	40.308	76.537	2806.3	-0.0017550	9.4525e-05	0.14213	liquid
255.67	3400.0	66.260	0.015092	4.7902	5.7623	22.315	40.307	76.543	2805.2	-0.0017518	9.4463e-05	0.14207	liquid
255.73	3400.0	66.247	0.015095	4.7952	5.7674	22.335	40.306	76.550	2804.1	-0.0017485	9.4400e-05	0.14201	liquid
255.80	3400.0	66.235	0.015098	4.8001	5.7725	22.355	40.305	76.557	2803.0	-0.0017453	9.4338e-05	0.14194	liquid
255.87	3400.0	66.222	0.015101	4.8050	5.7776	22.375	40.304	76.564	2801.9	-0.0017420	9.4276e-05	0.14188	liquid
255.93	3400.0	66.209	0.015104	4.8099	5.7827	22.395	40.303	76.571	2800.8	-0.0017388	9.4213e-05	0.14182	liquid
256.00	3400.0	66.196	0.015107	4.8148	5.7878	22.414	40.302	76.577	2799.7	-0.0017355	9.4151e-05	0.14175	liquid
256.07	3400.0	66.184	0.015109	4.8197	5.7929	22.434	40.301	76.584	2798.6	-0.0017323	9.4089e-05	0.14169	liquid
256.13	3400.0	66.171	0.015112	4.8247	5.7980	22.454	40.300	76.591	2797.5	-0.0017290	9.4027e-05	0.14163	liquid
256.20	3400.0	66.158	0.015115	4.8296	5.8032	22.474	40.299	76.598	2796.4	-0.0017258	9.3965e-05	0.14156	liquid
256.27	3400.0	66.145	0.015118	4.8345	5.8083	22.494	40.298	76.605	2795.3	-0.0017225	9.3903e-05	0.14150	liquid
256.33	3400.0	66.132	0.015121	4.8394	5.8134	22.514	40.297	76.612	2794.2	-0.0017192	9.3841e-05	0.14144	liquid
256.40	3400.0	66.120	0.015124	4.8443	5.8185	22.534	40.296	76.619	2793.1	-0.0017160	9.3779e-05	0.14137	liquid
256.47	3400.0	66.107	0.015127	4.8492	5.8236	22.554	40.295	76.625	2792.0	-0.0017127	9.3717e-05	0.14131	liquid
256.53	3400.0	66.094	0.015130	4.8542	5.8287	22.574	40.293	76.632	2790.9	-0.0017094	9.3655e-05	0.14125	liquid
256.60	3400.0	66.081	0.015133	4.8591	5.8338	22.594	40.292	76.639	2789.8	-0.0017061	9.3594e-05	0.14119	liquid
256.67	3400.0	66.068	0.015136	4.8640	5.8389	22.614	40.291	76.646	2788.7	-0.0017028	9.3532e-05	0.14112	liquid
256.73	3400.0	66.055	0.015139	4.8689	5.8440	22.634	40.290	76.653	2787.6	-0.0016995	9.3471e-05	0.14106	liquid
256.80	3400.0	66.043	0.015142	4.8738	5.8491	22.654	40.289	76.660	2786.5	-0.0016962	9.3409e-05	0.14100	liquid
256.87	3400.0	66.030	0.015145	4.8788	5.8542	22.673	40.288	76.667	2785.4	-0.0016929	9.3348e-05	0.14093	liquid
256.93	3400.0	66.017	0.015148	4.8837	5.8594	22.693	40.287	76.674	2784.3	-0.0016896	9.3286e-05	0.14087	liquid
257.00	3400.0	66.004	0.015151	4.8886	5.8645	22.713	40.286	76.681	2783.3	-0.0016863	9.3225e-05	0.14081	liquid
257.07	3400.0	65.991	0.015154	4.8935	5.8696	22.733	40.285	76.688	2782.2	-0.0016830	9.3164e-05	0.14074	liquid
257.13	3400.0	65.978	0.015156	4.8985	5.8747	22.753	40.284	76.695	2781.1	-0.0016797	9.3102e-05	0.14068	liquid
257.20	3400.0	65.966	0.015159	4.9034	5.8798	22.773	40.283	76.702	2780.0	-0.0016764	9.3041e-05	0.14062	liquid
257.27	3400.0	65.953	0.015162	4.9083	5.8849	22.793	40.282	76.709	2778.9	-0.0016730	9.2980e-05	0.14056	liquid
257.33	3400.0	65.940	0.015165	4.9132	5.8900	22.813	40.281	76.716	2777.8	-0.0016697	9.2919e-05	0.14049	liquid
257.40	3400.0	65.927	0.015168	4.9182	5.8951	22.832	40.280	76.723	2776.7	-0.0016664	9.2858e-05	0.14043	liquid
257.47	3400.0	65.914	0.015171	4.9231	5.9003	22.852	40.279	76.730	2775.6	-0.0016630	9.2797e-05	0.14037	liquid
257.53	3400.0	65.901	0.015174	4.9280	5.9054	22.872	40.278	76.737	2774.5	-0.0016597	9.2736e-05	0.14030	liquid
257.60	3400.0	65.888	0.015177	4.9329	5.9105	22.892	40.277	76.744	2773.4	-0.0016563	9.2675e-05	0.14024	liquid
257.67	3400.0	65.876	0.015180	4.9379	5.9156	22.912	40.276	76.751	2772.3	-0.0016530	9.2614e-05	0.14018	liquid
257.73	3400.0	65.863	0.015183	4.9428	5.9207	22.932	40.275	76.758	2771.2	-0.0016496	9.2554e-05	0.14011	liquid
257.80	3400.0	65.850	0.015186	4.9477	5.9258	22.952	40.274	76.765	2770.1	-0.0016463	9.2493e-05	0.14005	liquid
257.87	3400.0	65.837	0.015189	4.9526	5.9310	22.972	40.273	76.772	2769.0	-0.0016429	9.2432e-05	0.13999	liquid
257.93	3400.0	65.824	0.015192	4.9576	5.9361	22.991	40.272	76.779	2767.9	-0.0016396	9.2372e-05	0.13993	liquid
258.00	3400.0	65.811	0.015195	4.9625	5.9412	23.011	40.271	76.786	2766.8	-0.0016362	9.2311e-05	0.13986	liquid
258.07	3400.0	65.798	0.015198	4.9674	5.9463	23.031	40.270	76.793	2765.8	-0.0016328	9.2251e-05	0.13980	liquid
258.13	3400.0	65.785	0.015201	4.9723	5.9514	23.051	40.269	76.800	2764.7	-0.0016294	9.2191e-05	0.13974	liquid
258.20	3400.0	65.773	0.015204	4.9773	5.9566	23.071	40.268	76.807	2763.6	-0.0016260	9.2130e-05	0.13968	liquid
258.27	3400.0	65.760	0.015207	4.9822	5.9617	23.091	40.267	76.814	2762.5	-0.0016227	9.2070e-05	0.13961	liquid
258.33	3400.0	65.747	0.015210	4.9871	5.9668	23.110	40.266	76.822	2761.4	-0.0016193	9.2010e-05	0.13955	liquid
258.40	3400.0	65.734	0.015213	4.9921	5.9719	23.130	40.265	76.829	2760.3	-0.0016159	9.1949e-05	0.13949	liquid
258.47	3400.0	65.721	0.015216	4.9970	5.9770	23.150	40.264	76.836	2759.2	-0.0016125	9.1889e-05	0.13942	liquid
258.53	3400.0	65.708	0.015219	5.0019	5.9822	23.170	40.263	76.843	2758.1	-0.0016091	9.1829e-05	0.13936	liquid
