Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	3200.0	67.126	0.014897	4.4104	5.3135	20.764	40.372	76.353	2870.8	-0.0019260	9.8992e-05	0.14639	liquid
250.07	3200.0	67.113	0.014900	4.4153	5.3186	20.784	40.371	76.360	2869.7	-0.0019229	9.8924e-05	0.14632	liquid
250.13	3200.0	67.100	0.014903	4.4202	5.3237	20.805	40.370	76.366	2868.6	-0.0019199	9.8857e-05	0.14626	liquid
250.20	3200.0	67.088	0.014906	4.4251	5.3288	20.825	40.368	76.373	2867.4	-0.0019168	9.8789e-05	0.14620	liquid
250.27	3200.0	67.075	0.014909	4.4301	5.3338	20.846	40.367	76.380	2866.3	-0.0019137	9.8722e-05	0.14613	liquid
250.33	3200.0	67.062	0.014912	4.4350	5.3389	20.866	40.366	76.386	2865.2	-0.0019106	9.8654e-05	0.14607	liquid
250.40	3200.0	67.049	0.014914	4.4399	5.3440	20.886	40.365	76.393	2864.1	-0.0019076	9.8587e-05	0.14600	liquid
250.47	3200.0	67.037	0.014917	4.4448	5.3491	20.907	40.364	76.400	2862.9	-0.0019045	9.8519e-05	0.14594	liquid
250.53	3200.0	67.024	0.014920	4.4497	5.3542	20.927	40.363	76.406	2861.8	-0.0019014	9.8452e-05	0.14587	liquid
250.60	3200.0	67.011	0.014923	4.4547	5.3593	20.947	40.362	76.413	2860.7	-0.0018983	9.8385e-05	0.14581	liquid
250.67	3200.0	66.998	0.014926	4.4596	5.3644	20.968	40.360	76.420	2859.6	-0.0018952	9.8318e-05	0.14574	liquid
250.73	3200.0	66.986	0.014929	4.4645	5.3695	20.988	40.359	76.426	2858.5	-0.0018921	9.8251e-05	0.14568	liquid
250.80	3200.0	66.973	0.014931	4.4694	5.3746	21.008	40.358	76.433	2857.3	-0.0018890	9.8184e-05	0.14561	liquid
250.87	3200.0	66.960	0.014934	4.4744	5.3797	21.028	40.357	76.440	2856.2	-0.0018858	9.8117e-05	0.14555	liquid
250.93	3200.0	66.947	0.014937	4.4793	5.3848	21.049	40.356	76.447	2855.1	-0.0018827	9.8050e-05	0.14548	liquid
251.00	3200.0	66.935	0.014940	4.4842	5.3899	21.069	40.355	76.453	2854.0	-0.0018796	9.7984e-05	0.14542	liquid
251.07	3200.0	66.922	0.014943	4.4891	5.3950	21.089	40.353	76.460	2852.9	-0.0018765	9.7917e-05	0.14535	liquid
251.13	3200.0	66.909	0.014946	4.4941	5.4001	21.110	40.352	76.467	2851.7	-0.0018733	9.7850e-05	0.14529	liquid
251.20	3200.0	66.896	0.014949	4.4990	5.4052	21.130	40.351	76.474	2850.6	-0.0018702	9.7784e-05	0.14522	liquid
251.27	3200.0	66.884	0.014951	4.5039	5.4103	21.150	40.350	76.481	2849.5	-0.0018671	9.7717e-05	0.14516	liquid
251.33	3200.0	66.871	0.014954	4.5088	5.4154	21.171	40.349	76.487	2848.4	-0.0018639	9.7651e-05	0.14509	liquid
251.40	3200.0	66.858	0.014957	4.5138	5.4205	21.191	40.348	76.494	2847.3	-0.0018608	9.7585e-05	0.14503	liquid
251.47	3200.0	66.845	0.014960	4.5187	5.4256	21.211	40.347	76.501	2846.1	-0.0018576	9.7518e-05	0.14496	liquid
251.53	3200.0	66.832	0.014963	4.5236	5.4307	21.231	40.345	76.508	2845.0	-0.0018545	9.7452e-05	0.14490	liquid
251.60	3200.0	66.820	0.014966	4.5285	5.4358	21.252	40.344	76.515	2843.9	-0.0018513	9.7386e-05	0.14484	liquid
251.67	3200.0	66.807	0.014969	4.5335	5.4409	21.272	40.343	76.521	2842.8	-0.0018482	9.7320e-05	0.14477	liquid
251.73	3200.0	66.794	0.014971	4.5384	5.4460	21.292	40.342	76.528	2841.7	-0.0018450	9.7254e-05	0.14471	liquid
251.80	3200.0	66.781	0.014974	4.5433	5.4511	21.313	40.341	76.535	2840.6	-0.0018418	9.7188e-05	0.14464	liquid
251.87	3200.0	66.768	0.014977	4.5482	5.4562	21.333	40.340	76.542	2839.4	-0.0018387	9.7122e-05	0.14458	liquid
251.93	3200.0	66.756	0.014980	4.5532	5.4613	21.353	40.339	76.549	2838.3	-0.0018355	9.7056e-05	0.14451	liquid
252.00	3200.0	66.743	0.014983	4.5581	5.4664	21.373	40.338	76.556	2837.2	-0.0018323	9.6990e-05	0.14445	liquid
252.07	3200.0	66.730	0.014986	4.5630	5.4715	21.394	40.336	76.563	2836.1	-0.0018291	9.6925e-05	0.14438	liquid
252.13	3200.0	66.717	0.014989	4.5680	5.4766	21.414	40.335	76.570	2835.0	-0.0018259	9.6859e-05	0.14432	liquid
252.20	3200.0	66.704	0.014992	4.5729	5.4817	21.434	40.334	76.576	2833.8	-0.0018227	9.6793e-05	0.14425	liquid
252.27	3200.0	66.692	0.014994	4.5778	5.4868	21.454	40.333	76.583	2832.7	-0.0018196	9.6728e-05	0.14419	liquid
252.33	3200.0	66.679	0.014997	4.5828	5.4919	21.475	40.332	76.590	2831.6	-0.0018164	9.6662e-05	0.14412	liquid
252.40	3200.0	66.666	0.015000	4.5877	5.4970	21.495	40.331	76.597	2830.5	-0.0018131	9.6597e-05	0.14406	liquid
252.47	3200.0	66.653	0.015003	4.5926	5.5021	21.515	40.330	76.604	2829.4	-0.0018099	9.6532e-05	0.14400	liquid
252.53	3200.0	66.640	0.015006	4.5976	5.5072	21.535	40.329	76.611	2828.3	-0.0018067	9.6466e-05	0.14393	liquid
252.60	3200.0	66.627	0.015009	4.6025	5.5123	21.555	40.328	76.618	2827.1	-0.0018035	9.6401e-05	0.14387	liquid
252.67	3200.0	66.615	0.015012	4.6074	5.5175	21.576	40.326	76.625	2826.0	-0.0018003	9.6336e-05	0.14380	liquid
252.73	3200.0	66.602	0.015015	4.6123	5.5226	21.596	40.325	76.632	2824.9	-0.0017971	9.6271e-05	0.14374	liquid
252.80	3200.0	66.589	0.015018	4.6173	5.5277	21.616	40.324	76.639	2823.8	-0.0017938	9.6206e-05	0.14367	liquid
252.87	3200.0	66.576	0.015020	4.6222	5.5328	21.636	40.323	76.646	2822.7	-0.0017906	9.6141e-05	0.14361	liquid
252.93	3200.0	66.563	0.015023	4.6272	5.5379	21.656	40.322	76.653	2821.6	-0.0017874	9.6076e-05	0.14355	liquid
