Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	3000.0	66.910	0.014945	4.4481	5.2975	20.926	40.343	76.733	2842.2	-0.0018345	9.7977e-05	0.14526	liquid
250.07	3000.0	66.897	0.014948	4.4531	5.3026	20.947	40.342	76.740	2841.0	-0.0018313	9.7909e-05	0.14520	liquid
250.13	3000.0	66.885	0.014951	4.4580	5.3077	20.967	40.341	76.747	2839.9	-0.0018281	9.7842e-05	0.14513	liquid
250.20	3000.0	66.872	0.014954	4.4630	5.3128	20.988	40.340	76.754	2838.8	-0.0018248	9.7774e-05	0.14507	liquid
250.27	3000.0	66.859	0.014957	4.4679	5.3180	21.008	40.339	76.761	2837.6	-0.0018216	9.7707e-05	0.14500	liquid
250.33	3000.0	66.846	0.014960	4.4729	5.3231	21.029	40.337	76.769	2836.5	-0.0018183	9.7639e-05	0.14494	liquid
250.40	3000.0	66.833	0.014963	4.4778	5.3282	21.049	40.336	76.776	2835.3	-0.0018151	9.7572e-05	0.14487	liquid
250.47	3000.0	66.820	0.014966	4.4828	5.3333	21.069	40.335	76.783	2834.2	-0.0018118	9.7505e-05	0.14481	liquid
250.53	3000.0	66.807	0.014969	4.4877	5.3384	21.090	40.334	76.790	2833.1	-0.0018086	9.7438e-05	0.14474	liquid
250.60	3000.0	66.794	0.014971	4.4927	5.3435	21.110	40.333	76.798	2831.9	-0.0018053	9.7371e-05	0.14468	liquid
250.67	3000.0	66.781	0.014974	4.4976	5.3487	21.131	40.332	76.805	2830.8	-0.0018020	9.7304e-05	0.14461	liquid
250.73	3000.0	66.768	0.014977	4.5026	5.3538	21.151	40.330	76.812	2829.7	-0.0017988	9.7237e-05	0.14454	liquid
250.80	3000.0	66.755	0.014980	4.5075	5.3589	21.172	40.329	76.820	2828.5	-0.0017955	9.7170e-05	0.14448	liquid
250.87	3000.0	66.742	0.014983	4.5125	5.3640	21.192	40.328	76.827	2827.4	-0.0017922	9.7104e-05	0.14441	liquid
250.93	3000.0	66.729	0.014986	4.5175	5.3692	21.212	40.327	76.834	2826.3	-0.0017889	9.7037e-05	0.14435	liquid
251.00	3000.0	66.716	0.014989	4.5224	5.3743	21.233	40.326	76.841	2825.1	-0.0017856	9.6970e-05	0.14428	liquid
251.07	3000.0	66.703	0.014992	4.5274	5.3794	21.253	40.325	76.849	2824.0	-0.0017824	9.6904e-05	0.14422	liquid
251.13	3000.0	66.690	0.014995	4.5323	5.3845	21.274	40.324	76.856	2822.8	-0.0017791	9.6837e-05	0.14415	liquid
251.20	3000.0	66.677	0.014998	4.5373	5.3896	21.294	40.323	76.863	2821.7	-0.0017758	9.6771e-05	0.14409	liquid
251.27	3000.0	66.664	0.015001	4.5423	5.3948	21.314	40.321	76.871	2820.6	-0.0017725	9.6704e-05	0.14402	liquid
251.33	3000.0	66.651	0.015003	4.5472	5.3999	21.335	40.320	76.878	2819.4	-0.0017691	9.6638e-05	0.14396	liquid
251.40	3000.0	66.638	0.015006	4.5522	5.4050	21.355	40.319	76.886	2818.3	-0.0017658	9.6572e-05	0.14389	liquid
251.47	3000.0	66.625	0.015009	4.5571	5.4101	21.376	40.318	76.893	2817.2	-0.0017625	9.6506e-05	0.14383	liquid
251.53	3000.0	66.612	0.015012	4.5621	5.4153	21.396	40.317	76.900	2816.0	-0.0017592	9.6440e-05	0.14376	liquid
251.60	3000.0	66.599	0.015015	4.5670	5.4204	21.416	40.316	76.908	2814.9	-0.0017559	9.6374e-05	0.14370	liquid
251.67	3000.0	66.586	0.015018	4.5720	5.4255	21.437	40.315	76.915	2813.8	-0.0017525	9.6308e-05	0.14363	liquid
251.73	3000.0	66.573	0.015021	4.5770	5.4307	21.457	40.314	76.923	2812.6	-0.0017492	9.6242e-05	0.14357	liquid
251.80	3000.0	66.560	0.015024	4.5819	5.4358	21.477	40.312	76.930	2811.5	-0.0017459	9.6176e-05	0.14350	liquid
251.87	3000.0	66.547	0.015027	4.5869	5.4409	21.498	40.311	76.937	2810.4	-0.0017425	9.6110e-05	0.14344	liquid
251.93	3000.0	66.534	0.015030	4.5919	5.4460	21.518	40.310	76.945	2809.2	-0.0017392	9.6044e-05	0.14337	liquid
252.00	3000.0	66.521	0.015033	4.5968	5.4512	21.539	40.309	76.952	2808.1	-0.0017358	9.5979e-05	0.14330	liquid
252.07	3000.0	66.508	0.015036	4.6018	5.4563	21.559	40.308	76.960	2807.0	-0.0017325	9.5913e-05	0.14324	liquid
252.13	3000.0	66.495	0.015039	4.6067	5.4614	21.579	40.307	76.967	2805.8	-0.0017291	9.5847e-05	0.14317	liquid
252.20	3000.0	66.482	0.015042	4.6117	5.4666	21.600	40.306	76.975	2804.7	-0.0017257	9.5782e-05	0.14311	liquid
252.27	3000.0	66.469	0.015045	4.6167	5.4717	21.620	40.305	76.982	2803.5	-0.0017224	9.5717e-05	0.14304	liquid
252.33	3000.0	66.456	0.015047	4.6216	5.4768	21.640	40.304	76.990	2802.4	-0.0017190	9.5651e-05	0.14298	liquid
252.40	3000.0	66.443	0.015050	4.6266	5.4820	21.661	40.302	76.997	2801.3	-0.0017156	9.5586e-05	0.14291	liquid
252.47	3000.0	66.430	0.015053	4.6316	5.4871	21.681	40.301	77.005	2800.1	-0.0017122	9.5521e-05	0.14285	liquid
252.53	3000.0	66.417	0.015056	4.6365	5.4922	21.701	40.300	77.012	2799.0	-0.0017088	9.5456e-05	0.14278	liquid
252.60	3000.0	66.404	0.015059	4.6415	5.4974	21.722	40.299	77.020	2797.9	-0.0017055	9.5390e-05	0.14272	liquid
252.67	3000.0	66.391	0.015062	4.6465	5.5025	21.742	40.298	77.028	2796.7	-0.0017021	9.5325e-05	0.14265	liquid
252.73	3000.0	66.378	0.015065	4.6514	5.5076	21.762	40.297	77.035	2795.6	-0.0016987	9.5260e-05	0.14259	liquid
