Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	2900.0	66.801	0.014970	4.4673	5.2898	21.009	40.329	76.931	2827.6	-0.0017869	9.7465e-05	0.14469	liquid
250.07	2900.0	66.788	0.014973	4.4723	5.2949	21.029	40.328	76.938	2826.5	-0.0017836	9.7397e-05	0.14463	liquid
250.13	2900.0	66.774	0.014976	4.4773	5.3000	21.050	40.327	76.946	2825.3	-0.0017803	9.7330e-05	0.14456	liquid
250.20	2900.0	66.761	0.014979	4.4822	5.3051	21.070	40.326	76.953	2824.2	-0.0017769	9.7262e-05	0.14450	liquid
250.27	2900.0	66.748	0.014982	4.4872	5.3103	21.091	40.324	76.961	2823.0	-0.0017736	9.7195e-05	0.14443	liquid
250.33	2900.0	66.735	0.014985	4.4922	5.3154	21.111	40.323	76.968	2821.9	-0.0017703	9.7128e-05	0.14437	liquid
250.40	2900.0	66.722	0.014987	4.4972	5.3205	21.132	40.322	76.976	2820.7	-0.0017669	9.7061e-05	0.14430	liquid
250.47	2900.0	66.709	0.014990	4.5021	5.3257	21.152	40.321	76.984	2819.6	-0.0017636	9.6994e-05	0.14423	liquid
250.53	2900.0	66.696	0.014993	4.5071	5.3308	21.173	40.320	76.991	2818.4	-0.0017603	9.6927e-05	0.14417	liquid
250.60	2900.0	66.683	0.014996	4.5121	5.3359	21.193	40.319	76.999	2817.3	-0.0017569	9.6860e-05	0.14410	liquid
250.67	2900.0	66.670	0.014999	4.5170	5.3411	21.214	40.318	77.006	2816.2	-0.0017535	9.6793e-05	0.14404	liquid
250.73	2900.0	66.657	0.015002	4.5220	5.3462	21.234	40.316	77.014	2815.0	-0.0017502	9.6726e-05	0.14397	liquid
250.80	2900.0	66.644	0.015005	4.5270	5.3513	21.255	40.315	77.021	2813.9	-0.0017468	9.6659e-05	0.14391	liquid
250.87	2900.0	66.631	0.015008	4.5320	5.3565	21.275	40.314	77.029	2812.7	-0.0017435	9.6592e-05	0.14384	liquid
250.93	2900.0	66.618	0.015011	4.5369	5.3616	21.296	40.313	77.037	2811.6	-0.0017401	9.6526e-05	0.14377	liquid
