Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
250.00	2000.0	65.740	0.015212	4.6531	5.2294	21.796	40.211	79.028	2688.1	-0.0012901	9.2711e-05	0.13930	liquid
250.07	2000.0	65.726	0.015215	4.6582	5.2347	21.817	40.210	79.039	2686.8	-0.0012858	9.2644e-05	0.13923	liquid
250.13	2000.0	65.711	0.015218	4.6634	5.2400	21.838	40.209	79.050	2685.6	-0.0012815	9.2576e-05	0.13916	liquid
250.20	2000.0	65.697	0.015221	4.6685	5.2452	21.860	40.208	79.061	2684.3	-0.0012773	9.2509e-05	0.13909	liquid
250.27	2000.0	65.683	0.015225	4.6737	5.2505	21.881	40.207	79.072	2683.1	-0.0012729	9.2442e-05	0.13903	liquid
250.33	2000.0	65.669	0.015228	4.6788	5.2558	21.902	40.206	79.083	2681.9	-0.0012686	9.2375e-05	0.13896	liquid
250.40	2000.0	65.655	0.015231	4.6840	5.2610	21.923	40.204	79.094	2680.6	-0.0012643	9.2308e-05	0.13889	liquid
250.47	2000.0	65.641	0.015234	4.6891	5.2663	21.944	40.203	79.105	2679.4	-0.0012600	9.2242e-05	0.13882	liquid
250.53	2000.0	65.627	0.015238	4.6943	5.2716	21.965	40.202	79.116	2678.2	-0.0012557	9.2175e-05	0.13875	liquid
250.60	2000.0	65.613	0.015241	4.6994	5.2769	21.986	40.201	79.127	2676.9	-0.0012513	9.2108e-05	0.13868	liquid
250.67	2000.0	65.599	0.015244	4.7046	5.2821	22.007	40.200	79.138	2675.7	-0.0012470	9.2041e-05	0.13861	liquid
250.73	2000.0	65.584	0.015248	4.7097	5.2874	22.028	40.199	79.149	2674.5	-0.0012426	9.1975e-05	0.13854	liquid
250.80	2000.0	65.570	0.015251	4.7149	5.2927	22.049	40.198	79.160	2673.2	-0.0012383	9.1908e-05	0.13848	liquid
250.87	2000.0	65.556	0.015254	4.7200	5.2980	22.070	40.197	79.172	2672.0	-0.0012339	9.1842e-05	0.13841	liquid
250.93	2000.0	65.542	0.015257	4.7252	5.3033	22.091	40.196	79.183	2670.8	-0.0012296	9.1775e-05	0.13834	liquid
251.00	2000.0	65.528	0.015261	4.7303	5.3085	22.112	40.195	79.194	2669.5	-0.0012252	9.1709e-05	0.13827	liquid
251.07	2000.0	65.514	0.015264	4.7355	5.3138	22.133	40.194	79.205	2668.3	-0.0012208	9.1643e-05	0.13820	liquid
251.13	2000.0	65.499	0.015267	4.7406	5.3191	22.154	40.193	79.216	2667.1	-0.0012164	9.1576e-05	0.13813	liquid
251.20	2000.0	65.485	0.015271	4.7458	5.3244	22.175	40.192	79.228	2665.8	-0.0012120	9.1510e-05	0.13806	liquid
251.27	2000.0	65.471	0.015274	4.7510	5.3297	22.196	40.191	79.239	2664.6	-0.0012076	9.1444e-05	0.13799	liquid
251.33	2000.0	65.457	0.015277	4.7561	5.3349	22.217	40.190	79.250	2663.4	-0.0012032	9.1378e-05	0.13793	liquid
251.40	2000.0	65.443	0.015281	4.7613	5.3402	22.238	40.189	79.262	2662.1	-0.0011988	9.1312e-05	0.13786	liquid
251.47	2000.0	65.429	0.015284	4.7664	5.3455	22.259	40.188	79.273	2660.9	-0.0011944	9.1246e-05	0.13779	liquid
251.53	2000.0	65.414	0.015287	4.7716	5.3508	22.280	40.187	79.284	2659.7	-0.0011899	9.1180e-05	0.13772	liquid
251.60	2000.0	65.400	0.015290	4.7767	5.3561	22.301	40.186	79.296	2658.4	-0.0011855	9.1114e-05	0.13765	liquid
251.67	2000.0	65.386	0.015294	4.7819	5.3614	22.322	40.185	79.307	2657.2	-0.0011810	9.1049e-05	0.13758	liquid
251.73	2000.0	65.372	0.015297	4.7871	5.3667	22.343	40.184	79.318	2656.0	-0.0011766	9.0983e-05	0.13751	liquid
251.80	2000.0	65.358	0.015300	4.7922	5.3719	22.364	40.182	79.330	2654.7	-0.0011721	9.0917e-05	0.13744	liquid
251.87	2000.0	65.343	0.015304	4.7974	5.3772	22.385	40.181	79.341	2653.5	-0.0011677	9.0852e-05	0.13738	liquid
251.93	2000.0	65.329	0.015307	4.8026	5.3825	22.406	40.180	79.353	2652.3	-0.0011632	9.0786e-05	0.13731	liquid
252.00	2000.0	65.315	0.015310	4.8077	5.3878	22.427	40.179	79.364	2651.0	-0.0011587	9.0721e-05	0.13724	liquid
252.07	2000.0	65.301	0.015314	4.8129	5.3931	22.448	40.178	79.376	2649.8	-0.0011542	9.0655e-05	0.13717	liquid
252.13	2000.0	65.286	0.015317	4.8181	5.3984	22.469	40.177	79.387	2648.6	-0.0011497	9.0590e-05	0.13710	liquid
252.20	2000.0	65.272	0.015320	4.8232	5.4037	22.490	40.176	79.399	2647.3	-0.0011452	9.0525e-05	0.13703	liquid
252.27	2000.0	65.258	0.015324	4.8284	5.4090	22.511	40.175	79.410	2646.1	-0.0011407	9.0459e-05	0.13696	liquid
252.33	2000.0	65.244	0.015327	4.8336	5.4143	22.532	40.174	79.422	2644.8	-0.0011362	9.0394e-05	0.13690	liquid
252.40	2000.0	65.229	0.015331	4.8387	5.4196	22.553	40.173	79.433	2643.6	-0.0011317	9.0329e-05	0.13683	liquid
252.47	2000.0	65.215	0.015334	4.8439	5.4249	22.574	40.172	79.445	2642.4	-0.0011272	9.0264e-05	0.13676	liquid
252.53	2000.0	65.201	0.015337	4.8491	5.4302	22.595	40.171	79.457	2641.1	-0.0011227	9.0199e-05	0.13669	liquid
252.60	2000.0	65.187	0.015341	4.8542	5.4355	22.616	40.170	79.468	2639.9	-0.0011181	9.0134e-05	0.13662	liquid
252.67	2000.0	65.172	0.015344	4.8594	5.4408	22.637	40.169	79.480	2638.7	-0.0011136	9.0069e-05	0.13655	liquid
252.73	2000.0	65.158	0.015347	4.8646	5.4461	22.658	40.168	79.491	2637.4	-0.0011090	9.0004e-05	0.13648	liquid
252.80	2000.0	65.144	0.015351	4.8697	5.4514	22.679	40.167	79.503	2636.2	-0.0011044	8.9940e-05	0.13642	liquid
252.87	2000.0	65.129	0.015354	4.8749	5.4567	22.700	40.166	79.515	2635.0	-0.0010999	8.9875e-05	0.13635	liquid
252.93	2000.0	65.115	0.015357	4.8801	5.4620	22.721	40.165	79.527	2633.7	-0.0010953	8.9810e-05	0.13628	liquid
253.00	2000.0	65.101	0.015361	4.8853	5.4673	22.742	40.164	79.538	2632.5	-0.0010907	8.9746e-05	0.13621	liquid
253.07	2000.0	65.086	0.015364	4.8904	5.4726	22.763	40.163	79.550	2631.3	-0.0010861	8.9681e-05	0.13614	liquid
253.13	2000.0	65.072	0.015368	4.8956	5.4779	22.784	40.162	79.562	2630.0	-0.0010815	8.9617e-05	0.13607	liquid
253.20	2000.0	65.058	0.015371	4.9008	5.4832	22.805	40.161	79.574	2628.8	-0.0010769	8.9552e-05	0.13601	liquid
253.27	2000.0	65.043	0.015374	4.9060	5.4885	22.826	40.160	79.586	2627.6	-0.0010723	8.9488e-05	0.13594	liquid
253.33	2000.0	65.029	0.015378	4.9111	5.4938	22.847	40.159	79.597	2626.3	-0.0010677	8.9424e-05	0.13587	liquid
253.40	2000.0	65.015	0.015381	4.9163	5.4991	22.868	40.158	79.609	2625.1	-0.0010631	8.9359e-05	0.13580	liquid
253.47	2000.0	65.000	0.015385	4.9215	5.5044	22.889	40.157	79.621	2623.9	-0.0010584	8.9295e-05	0.13573	liquid
253.53	2000.0	64.986	0.015388	4.9267	5.5097	22.910	40.156	79.633	2622.6	-0.0010538	8.9231e-05	0.13566	liquid
253.60	2000.0	64.972	0.015391	4.9319	5.5150	22.931	40.155	79.645	2621.4	-0.0010491	8.9167e-05	0.13559	liquid
253.67	2000.0	64.957	0.015395	4.9370	5.5203	22.951	40.154	79.657	2620.1	-0.0010445	8.9103e-05	0.13553	liquid
253.73	2000.0	64.943	0.015398	4.9422	5.5256	22.972	40.153	79.669	2618.9	-0.0010398	8.9039e-05	0.13546	liquid
253.80	2000.0	64.929	0.015402	4.9474	5.5310	22.993	40.152	79.681	2617.7	-0.0010352	8.8975e-05	0.13539	liquid
253.87	2000.0	64.914	0.015405	4.9526	5.5363	23.014	40.152	79.693	2616.4	-0.0010305	8.8911e-05	0.13532	liquid
253.93	2000.0	64.900	0.015408	4.9578	5.5416	23.035	40.151	79.705	2615.2	-0.0010258	8.8847e-05	0.13525	liquid
254.00	2000.0	64.885	0.015412	4.9630	5.5469	23.056	40.150	79.717	2614.0	-0.0010211	8.8784e-05	0.13518	liquid
254.07	2000.0	64.871	0.015415	4.9681	5.5522	23.077	40.149	79.729	2612.7	-0.0010164	8.8720e-05	0.13512	liquid
254.13	2000.0	64.857	0.015419	4.9733	5.5575	23.098	40.148	79.741	2611.5	-0.0010117	8.8656e-05	0.13505	liquid
254.20	2000.0	64.842	0.015422	4.9785	5.5628	23.119	40.147	79.753	2610.3	-0.0010070	8.8593e-05	0.13498	liquid
254.27	2000.0	64.828	0.015425	4.9837	5.5682	23.140	40.146	79.765	2609.0	-0.0010023	8.8529e-05	0.13491	liquid
254.33	2000.0	64.813	0.015429	4.9889	5.5735	23.161	40.145	79.777	2607.8	-0.00099754	8.8466e-05	0.13484	liquid
254.40	2000.0	64.799	0.015432	4.9941	5.5788	23.182	40.144	79.789	2606.6	-0.00099280	8.8402e-05	0.13477	liquid
254.47	2000.0	64.785	0.015436	4.9993	5.5841	23.203	40.143	79.802	2605.3	-0.00098806	8.8339e-05	0.13471	liquid
254.53	2000.0	64.770	0.015439	5.0045	5.5894	23.223	40.142	79.814	2604.1	-0.00098331	8.8276e-05	0.13464	liquid
254.60	2000.0	64.756	0.015443	5.0097	5.5948	23.244	40.141	79.826	2602.8	-0.00097855	8.8212e-05	0.13457	liquid
254.67	2000.0	64.741	0.015446	5.0148	5.6001	23.265	40.140	79.838	2601.6	-0.00097378	8.8149e-05	0.13450	liquid
254.73	2000.0	64.727	0.015450	5.0200	5.6054	23.286	40.139	79.850	2600.4	-0.00096901	8.8086e-05	0.13443	liquid
254.80	2000.0	64.712	0.015453	5.0252	5.6107	23.307	40.138	79.863	2599.1	-0.00096423	8.8023e-05	0.13436	liquid
254.87	2000.0	64.698	0.015456	5.0304	5.6160	23.328	40.137	79.875	2597.9	-0.00095944	8.7960e-05	0.13430	liquid
254.93	2000.0	64.683	0.015460	5.0356	5.6214	23.349	40.136	79.887	2596.7	-0.00095464	8.7897e-05	0.13423	liquid
255.00	2000.0	64.669	0.015463	5.0408	5.6267	23.370	40.135	79.900	2595.4	-0.00094984	8.7834e-05	0.13416	liquid
255.07	2000.0	64.654	0.015467	5.0460	5.6320	23.391	40.134	79.912	2594.2	-0.00094503	8.7771e-05	0.13409	liquid
255.13	2000.0	64.640	0.015470	5.0512	5.6374	23.411	40.133	79.924	2593.0	-0.00094021	8.7708e-05	0.13402	liquid
255.20	2000.0	64.626	0.015474	5.0564	5.6427	23.432	40.133	79.937	2591.7	-0.00093539	8.7645e-05	0.13396	liquid
255.27	2000.0	64.611	0.015477	5.0616	5.6480	23.453	40.132	79.949	2590.5	-0.00093055	8.7583e-05	0.13389	liquid
255.33	2000.0	64.597	0.015481	5.0668	5.6533	23.474	40.131	79.961	2589.3	-0.00092571	8.7520e-05	0.13382	liquid
255.40	2000.0	64.582	0.015484	5.0720	5.6587	23.495	40.130	79.974	2588.0	-0.00092086	8.7458e-05	0.13375	liquid
255.47	2000.0	64.568	0.015488	5.0772	5.6640	23.516	40.129	79.986	2586.8	-0.00091601	8.7395e-05	0.13368	liquid
255.53	2000.0	64.553	0.015491	5.0824	5.6693	23.537	40.128	79.999	2585.5	-0.00091114	8.7332e-05	0.13362	liquid
255.60	2000.0	64.538	0.015495	5.0876	5.6747	23.558	40.127	80.011	2584.3	-0.00090627	8.7270e-05	0.13355	liquid
255.67	2000.0	64.524	0.015498	5.0928	5.6800	23.578	40.126	80.024	2583.1	-0.00090139	8.7208e-05	0.13348	liquid
255.73	2000.0	64.509	0.015502	5.0980	5.6853	23.599	40.125	80.036	2581.8	-0.00089650	8.7145e-05	0.13341	liquid
