time,thrust,impulse,Pc,Pox,dmox,dmf,OF,r
0.0,0.0,0.0,14.891269035532995,2999.9999999999995,1.8625326055457108,0.19702757345088204,9.453157103465168,0.675
0.02004008016032064,396.2154366165183,6.986369342284409,1271.399682445805,2946.798029103286,1.3953490086864024,0.1616798262801155,8.63032229060486,0.6769755280224131
0.04008016032064128,392.2880528228706,14.884526710418337,1259.591434626494,2897.9918844843774,1.379856221864282,0.16029236899676647,8.60837125622691,0.6788763425852368
0.06012024048096192,387.10335815428147,22.699126193404044,1243.9951521725932,2851.2722916270027,1.3666874007952539,0.15908967528597992,8.59067314292077,0.6807561637944554
0.08016032064128256,383.8953273955281,30.425489788113182,1234.3404735468114,2806.4833879185576,1.351667334028414,0.15774102946240381,8.568901436962994,0.6826161079600228
0.1002004008016032,379.4751026722001,38.07406816178525,1221.0319688983836,2763.514790930264,1.3388563261860882,0.1565686856383119,8.55123948143098,0.6844563345512844
0.12024048096192384,375.8594599392306,45.64272552334333,1210.1409534690142,2722.240790928691,1.3256047153805193,0.1553621513149334,8.53235298405077,0.6862777229246305
0.1402805611222445,371.3520829482432,53.138069269200074,1196.5575173108703,2682.5640112880924,1.3141173843407534,0.1542974206052904,8.516781286334066,0.6880805789497751
0.16032064128256512,368.4920970359876,60.556388937804066,1187.9349627549905,2644.3754247157954,1.3009786657176992,0.15310149245706753,8.497491728126148,0.6898658142509906
0.18036072144288576,364.6760018685553,67.90621243403754,1176.425310068761,2607.598665809569,1.2896442557757477,0.15205094478293898,8.481658944091306,0.6916335344130906
0.2004008016032064,361.66503242744994,75.18544701853243,1167.340284778014,2572.1436152566052,1.2777078734600542,0.150952912407333,8.464281033626389,0.6933844906770594
0.22044088176352705,358.2813606149606,82.39896961358696,1157.1267620433096,2537.9404741094595,1.2667512819587847,0.14993452056589607,8.448696652229923,0.695118952752699
0.24048096192384769,355.08948989876916,89.547355862738,1147.488320442711,2504.9170211374208,1.255978833930951,0.14893185335963524,8.433245176222032,0.6968374446467012
0.2605210420841683,351.159067257868,96.63471435550058,1135.6144635975668,2473.013035438485,1.246677824505748,0.14804903042177145,8.420709145842652,0.6985402315617045
0.280561122244489,349.10556594065804,103.65640833838553,1129.4084919942575,2442.157502962007,1.2351356492955186,0.146985736154669,8.40309870609363,0.7002281315872589
0.3006012024048096,345.5837192979107,110.62229053296339,1118.7612252492838,2412.309626162367,1.2260696684600063,0.14612387726183007,8.390618230469551,0.7019009842081868
0.32064128256513025,343.8527778080895,117.52595469566543,1113.5264818436392,2383.404157730707,1.2147999102213332,0.1450838336524717,8.373089403821647,0.7035596837074386
0.3406813627254509,340.1318242291098,124.37822336419465,1102.2695575533592,2355.409123642303,1.2067672850546332,0.14430783673998573,8.362451494779108,0.7052039545835581
0.3607214428857715,337.89837367608715,131.1719802618195,1095.5101296630894,2328.2655200354206,1.1969121126275186,0.14338428738541578,8.347582112747325,0.7068347067858115
0.3807615230460922,334.6404413046734,137.91482561715264,1085.6465973916406,2301.942025605634,1.1888945715209533,0.14261148622324893,8.336597584151228,0.7084518413641357
0.4008016032064128,332.56795383370326,144.60260901066613,1079.3698310132893,2276.390911540129,1.1794368870926413,0.14172183731134877,8.322195855403255,0.7100560384444351
0.42084168336673344,329.922384575971,151.24096872889422,1071.3548859608113,2251.58286327215,1.1711344587978048,0.14092744361197962,8.310194443193971,0.7116472945635351
0.4408817635270541,327.6145287213498,157.82885898697327,1064.3607254683088,2227.4802501875356,1.1626151553938922,0.1401160502426164,8.297515904714547,0.713226049491121
0.4609218436873747,325.327626079856,164.36824209126607,1057.4278914428658,2204.0523836601114,1.1543417781388645,0.13932556246262734,8.285211685030914,0.7147925224216068
0.48096192384769537,322.4505099209401,170.86177604625405,1048.7026975473034,2181.2716058894366,1.1472448701375433,0.13863260733415533,8.27543311922471,0.7163468683240778
0.501002004008016,320.6674300262258,177.30631903394163,1043.2935449804743,2159.103381366482,1.138725116130659,0.13782329155140885,8.26221100448692,0.7178896398083516
0.5210420841683366,317.8299689675484,183.70830266077428,1034.6830275838324,2137.529294973698,1.1320908903065743,0.137170136784412,8.25318773346317,0.7194206973565507
0.5410821643286573,316.26832916862884,190.06286182891472,1029.9426225390728,2116.5157516694467,1.123707520158808,0.13637334205094787,8.239935336768392,0.7209406968698737
0.561122244488978,314.056794632767,196.3758106102473,1023.2276331916398,2096.0463387095015,1.1165726236196822,0.13568034607323487,8.22943525672466,0.7224495175989106
0.5811623246492986,311.54753159299486,202.64719335376745,1015.6060459228028,2076.0975342014863,1.1101391034482886,0.13504617605184424,8.220440858851909,0.7239474420241417
0.6012024048096192,309.9558433278301,208.87482279945084,1010.770042649827,2056.644033333392,1.1024616429551306,0.13430962170394095,8.208359378639974,0.7254349082882794
0.6212424849699398,307.4749924529279,215.06414301771545,1003.2302601941064,2037.6724728578981,1.0964199374082622,0.13370946022952973,8.200017676581105,0.7269117853327818
0.6412825651302605,305.9109364844586,221.21139175095962,998.4753739128994,2019.1577516813009,1.0891034035345026,0.1330040900448597,8.188495580603343,0.7283786101817388
0.6613226452905812,304.11298299140094,227.32029908595726,993.0080480988663,2001.0861727170893,1.082357927072913,0.1323467862231925,8.178195768559133,0.7298353591337806
0.6813627254509018,301.5667038752717,233.39296227813378,985.2626444522194,1983.4426495181724,1.0770310899130278,0.1318083450558947,8.171190446676965,0.731282119056518
0.7014028056112224,300.2036241775953,239.42518408583516,981.1151321981182,1966.2046486526228,1.0699454975679477,0.13112396222058118,8.15980145389482,0.7327194409394109
