time,dm_ox_dt,dr_dt,thrust,n_lo,n_go,OF,r,V_chmb,p_chmb,p_tank
0.0,0.19107800507225273,0.0005426232980411528,14.539149847292814,0.04984975188426067,0.00011672594168188097,14.176131616271832,0.4378931846037806,112.77157882603375,401.26270773913535,919.2247206371643
0.005,0.1427937762907735,0.00042991444827191144,10.908009621642572,0.04983353011156956,0.00011893250846926289,13.373856358970878,0.4378085559446383,112.77437253235554,301.05141897592324,914.6243510162406
0.01,0.15569242579557846,0.00046078226889983715,11.878948100965108,0.04981584301618915,0.00012133809672383117,13.607900619091158,0.43771785095500537,112.7773662270326,327.8528138320637,911.3512410999206
0.015,0.15178806162600525,0.00045158951676858936,11.584911518568124,0.0497985994675074,0.0001236830413819594,13.539460977814665,0.43762895555862946,112.78029959469573,319.74171468032546,907.931930633939
0.02,0.15242954428950944,0.00045318930054662616,11.633011878050894,0.04978128304459945,0.00012603758544223138,13.551446488064405,0.43753974524481687,112.78324275503216,321.07346629853754,904.7391253078176
0.025,0.1518536762450684,0.00045189278447552785,11.589483493962854,0.049764032041913306,0.00012838292356214933,13.541736500319619,0.43745079015019284,112.78617689791726,319.8762349797135,901.6639629265082
0.03,0.15162485300380849,0.0004514213719629952,11.572077161819344,0.049746807034187886,0.00013072441879429317,13.538201135637992,0.43736192785312195,112.7891073842572,319.3999598158313,898.7231729897387
0.035,0.15131676484103862,0.0004507606787109264,11.54870507892617,0.04972961702614014,0.00013306084884375804,13.533241373268813,0.4372731956135177,112.79203298753988,318.75900287560955,895.9018047253469
0.04,0.1510446490663082,0.0004501851414442716,11.528041111905836,0.049712457931206114,0.0001353927711497658,13.52891649855826,0.43718457666842436,112.79495426290126,318.19277146924577,893.1940708955619
0.045,0.1507761999774631,0.00044961784055105945,11.50765361129235,0.04969532933284001,0.00013772024415450583,13.524649466613058,0.43709606939651185,112.79787126604224,317.63415024598794,890.5925939828371
0.05,0.1505194690625478,0.00044907800808215343,11.48814861477732,0.049678229899824476,0.00014004345052800402,13.520585320500773,0.4370076683906209,112.80078417735226,317.09986785071465,888.0911380761573
0.055,0.1502715278552451,0.00044855869717289526,11.469305691860551,0.04966115863362412,0.0001423625276389816,13.516672235526647,0.43691936961108235,112.8036931320273,316.5838409688239,885.6838187278335
0.06,0.15003251152378072,0.00044806026469547194,11.451135013188317,0.049644114520348066,0.00014467761485901704,13.512913299886957,0.4368311689479771,112.80659826746704,316.0863512685132,883.3652465351397
0.065,0.1498017638529548,0.00044758117590155467,11.4335871800416,0.04962709662065332,0.0001469888413522247,13.50929731089014,0.4367430625935009,112.80949971101153,315.60603609738956,881.1304323910468
0.07,0.14957889122914433,0.0004471205201927435,11.41663255925928,0.049610104039912506,0.0001492963301337436,13.505817732255787,0.43665504691910095,112.81239758399644,315.1420783255338,878.9747621803903
0.075,0.14936346869198022,0.0004466773095367715,11.400239157484961,0.04959313593177491,0.00015160019759096082,13.50246740871916,0.4365671184907186,112.81529200125756,314.6935956181846,876.8939587665985
0.08,0.14915511727017794,0.0004462506634803083,11.384378442502229,0.04957619149294205,0.00015390055419775523,13.499239966105291,0.4364792740476125,112.8181830718343,314.2598011277329,874.8840522861261
0.085,0.1489534793958113,0.00044583975062357275,11.36902349274022,0.04955926996073613,0.00015619750484899787,13.496129372810605,0.43639151049270225,112.82107089929339,313.8399524179687,872.9413525445553
0.09,0.1487582227812287,0.00044544379810096174,11.354149289195874,0.04954237061022819,0.00015849114925451359,13.493130014536304,0.4363038248810461,112.82395558211351,313.4333595262608,871.0624246275214
0.095,0.14856903672707614,0.000445062082937525,11.339732437615233,0.04952549275178556,0.00016078158227576895,13.490236631642949,0.4362162144100199,112.82683721401352,313.0393772982456,869.244066966874
0.1,0.1483856307868201,0.0004446939290219904,11.325751068039873,0.04950863572877113,0.0001630688942416687,13.487444298667036,0.4361286764100919,112.82971588426062,312.65740261819917,867.4832916660316
0.105,0.14820773301003143,0.0004443387030528456,11.312184702634578,0.04949179891544211,0.00016535317123699125,13.484748395778022,0.4360412083363959,112.83259167795197,312.2868707635026,865.7773067924751
0.11,0.14803508850799693,0.00044399581123970023,11.299014147767735,0.04947498171501178,0.00016763449536845958,13.482144585706909,0.4359538077609534,112.83546467627454,311.9272524283147,864.1235004164844
0.115,0.14786745811241536,0.0004436646962129908,11.286221393090262,0.04945818355786362,0.00016991294500990546,13.479628792034312,0.43586647236550385,112.83833495674473,311.5780509401811,862.5194261961169
0.12,0.1477046171707193,0.00044334483424811067,11.27378952089178,0.04944140389990225,0.0001721885950286542,13.477197179670222,0.4357791999348821,112.8412025934297,311.2387997601158,860.9627903352753
0.125,0.1475463544484208,0.00044303573273456697,11.261702623506853,0.049424642221029144,0.00017446151699479829,13.474846137022704,0.43569198835089334,112.84406765715205,310.9090602046997,859.4514397641958
0.13,0.14739247113128243,0.00044273692787425605,11.249945728230275,0.049407898023731606,0.00017673177937491547,13.472572259755957,0.43560483558664126,112.84693021567938,310.58841937528223,857.9833514099554
0.135,0.14724277991571916,0.0004424479825822339,11.23850472886947,0.04939117083177517,0.0001789994477116065,13.470372335953348,0.43551773970126995,112.84979033390002,310.27648827023455,856.5566224406114
0.14,0.14709710417873223,0.0004421684845701503,11.227366323279824,0.04937446018899023,0.00018126458479009175,13.468243332550896,0.4354306988350823,112.85264807398623,309.97290006221306,855.1694613811146
0.145,0.14695527721923135,0.00044189804459371845,11.21651795627047,0.049357765658144884,0.00018352725079297976,13.466182382913072,0.435343711205004,112.85550349554585,309.67730852354015,853.8201800108787
0.15,0.14681714156365158,0.0004416362948479939,11.205947767347084,0.04934108681989668,0.00018578750344420947,13.464186775439908,0.43525677510036315,112.85835665576332,309.3893865849894,852.507185963507
0.155,0.14668254832955763,0.0004413828874960283,11.195644542817277,0.04932442327181662,0.00018804539814307005,13.46225394310612,0.4351698888789596,112.86120760953109,309.10882501489124,851.2289759582981
0.16,0.14655135664161276,0.0004411374933180249,11.185597671835689,0.04930777462747953,0.00019030098808911453,13.460381453843391,0.4350830509633999,112.86405640957221,308.83533120689503,849.9841296010809
0.165,0.14642343309495173,0.0004408998004696285,11.17579710601568,0.04929114051561543,0.00019255432439870617,13.458567001687832,0.4349962598376774,112.8669031065546,308.56862806609723,848.7713036991951
0.17,0.14629865126148175,0.000440669513339093,11.166233322270942,0.049274520579316895,0.0001948054562138665,13.456808398621389,0.43490951404397665,112.86974774919797,308.3084529842502,847.5892270411857
0.17500000000000002,0.14617689123510136,0.00044044635149412416,11.156897288585396,0.04925791447529818,0.00019705443080403188,13.45510356704372,0.43482281217968505,112.87259038437365,308.05455689573193,846.4366955970241
0.18,0.14605803921235433,0.0004402300487104153,11.14778043244936,0.049241321873201946,0.00019930129366127085,13.453450532819192,0.4347361528945964,112.87543105719818,307.80670340705126,845.3125681000795
0.185,0.14594198710525644,0.0004400203520743814,11.138874611716657,0.04922474245494992,0.00020154608858946398,13.451847418846945,0.43464953488829056,112.87826981112089,307.5646679931211,844.2157619754263
0.19,0.1458286321834458,0.0004398170211535476,11.130172087668203,0.04920817591413432,0.0002037888577879028,13.450292439108575,0.4345629569076765,112.88110668800611,307.3282372543859,843.1452495830255
0.195,0.14571787674311462,0.0004396198272287579,11.12166550009103,0.049191621955446754,0.000206029641929726,13.448783893152791,0.4344764177446865,112.88394172821022,307.09720822953324,842.1000547477921
0.2,0.14560962780036218,0.00043942855258277165,11.113347844194939,0.049175080294142096,0.0002082684802355733,13.44732016097924,0.4343899162341106,112.88677497065414,306.8713877588874,841.0792495510508
0.20500000000000002,0.1455037968068869,0.0004392429898404629,11.10521244921034,0.04915855065553454,0.0002105054105428049,13.44589969828798,0.4343034512515605,112.8896064528914,306.6505918941677,840.0819513605348
0.21,0.14540029938614588,0.00043906294135631835,11.09725295852639,0.04914203277452368,0.00021274046937060645,13.444521032064639,0.4342170217115545,112.89243621117218,306.4346453507278,839.1073200784558
