r,pixels,area,perimeter
0.0004631011662983711,9,0.002487086750936022,0.36697618147439703
0.0009262023325967422,18,0.0026534621401764994,0.36066789984996667
0.0013893034988951133,27,0.0028181800770209022,0.35632766038822566
0.0018524046651934845,36,0.0029811611308432203,0.3524459289568258
0.0023155058314918557,45,0.0031422411450163666,0.3477302273257292
0.0027786069977902266,54,0.0033014783686660817,0.34330161828362515
0.0032417081640885976,63,0.003458692759040076,0.33847281323132367
0.003704809330386969,72,0.003613661910385522,0.3338647609669146
0.00416791049668534,81,0.0037662481429506698,0.3288363566769703
0.004631011662983711,90,0.003916816837615163,0.3232813332539233
0.005094112829282082,99,0.004064531325118366,0.3177552528686185
0.005557213995580453,108,0.004209471036086286,0.31225507698496113
0.006020315161878824,117,0.0043516889242695995,0.30681510808446155
0.006483416328177195,126,0.004491460349171805,0.3021796595306583
0.006946517494475566,135,0.004629039488796136,0.29827519207627007
0.007409618660773938,144,0.004764823496272641,0.295192042498607
0.007872719827072308,153,0.004899447816609401,0.29289531120848433
