time,dm_ox_dt,dr_dt,thrust,n_lo,n_go,OF,r,V_chmb,p_chmb,p_tank
0.06,0.2060365081720603,-0.016475486230987917,1312.8039635644022,0.049532806199064874,0.00015967184206683535,0.5573383428896196,0.395549353747531,114.10195018527368,1129.3355225144946,2207.1553711643282
0.065,0.20367183811432424,-0.016538718646041495,1308.308866738268,0.04950966850814238,0.00016280152603227304,0.5533901734990879,0.3922937069820577,114.19864074405339,1121.4885569983176,2174.4653111217076
0.07,0.20141415547861685,-0.016610090748389907,1304.0820486505768,0.04948678729628695,0.000165895767175307,0.5494842370676452,0.3890240106182371,114.29494426701977,1114.13204873481,2143.5833708044784
0.075,0.1992465738661415,-0.016688934051587896,1300.0830481162027,0.049464152327770135,0.0001689559791436221,0.5456103577324322,0.385738793950182,114.39089313558819,1107.1922286458175,2114.3528685909914
0.08,0.1971656686983472,-0.01677543873484791,1296.308232705985,0.04944175375590519,0.00017198352090383326,0.5417659163535543,0.3824365488352272,114.48651930230945,1100.6590549175742,2086.6365039507323
0.085,0.19516278388360342,-0.0168694428227764,1292.7387619159942,0.049419582717361625,0.0001749796165870577,0.5379452081891223,0.3791157990155637,114.58185224455556,1094.4970057234725,2060.3118562895766
0.09,0.19323281534108852,-0.01697101633894896,1289.3653616443949,0.0493976309286468,0.0001779454102444173,0.5341444795596951,0.3757750544492416,114.67692027831274,1088.6872887082247,2035.2700956504043
0.095,0.19136981205521605,-0.01708017003126414,1286.1759495310614,0.049375890782320124,0.000180881953014084,0.5303594055397252,0.37241282297858724,114.77175019167053,1083.2067199741223,2011.4137811142223
0.1,0.1895690273039601,-0.017196998881531388,1283.1615512475855,0.049354355210181895,0.00018379022176435547,0.5265862782057711,0.36902759374875777,114.86636768016001,1078.0377064213,1988.6555374846082
0.105,0.18782579576921213,-0.0173216078989359,1280.3131362125034,0.04933301767402562,0.00018667112048008445,0.5228213593205816,0.36561783523385216,114.96079735211991,1073.162846252484,1966.9166887080069
0.11,0.18613601732199075,-0.01745414971266014,1277.6230690764514,0.04931187210143093,0.00018952548905853012,0.5190611631364369,0.36218198586291506,115.05506293083644,1068.567338645506,1946.126218394657
0.115,0.1844958352880889,-0.017594805093200282,1275.0842206476223,0.04929091285810645,0.00019235410715459205,0.5153022693437065,0.35871844848031853,115.14918733592819,1064.2374538437016,1926.2198249269027
