OF,Pc,T,k,M
11,300,3257.0,1.227,30.548
11,400,3279.0,1.2263,30.608
11,500,3295.0,1.2257,30.654
11,600,3308.0,1.2253,30.69
11,700,3319.0,1.2249,30.72
11,800,3328.0,1.2246,30.746
11,900,3336.0,1.2244,30.768
11,1000,3343.0,1.2242,30.788
11,1100,3349.0,1.224,30.806
11,1200,3355.0,1.2238,30.822
11,1300,3360.0,1.2236,30.836
11,1400,3364.0,1.2235,30.849
11,1500,3369.0,1.2233,30.862
12,100,3116.0,1.2324,30.324
12,200,3167.0,1.2307,30.464
12,300,3196.0,1.2298,30.542
12,400,3215.0,1.2292,30.596
12,500,3230.0,1.2287,30.636
12,600,3241.0,1.2283,30.668
12,700,3250.0,1.228,30.694
12,800,3259.0,1.2277,30.717
12,900,3265.0,1.2275,30.736
12,1000,3272.0,1.2273,30.753
12,1100,3277.0,1.2271,30.768
12,1200,3282.0,1.227,30.782
12,1300,3286.0,1.2268,30.794
12,1400,3290.0,1.2267,30.806
12,1500,3294.0,1.2266,30.816
13,100,3067.0,1.2349,30.331
13,200,3114.0,1.2333,30.457
13,300,3139.0,1.2324,30.527
13,400,3156.0,1.2319,30.574
13,500,3169.0,1.2314,30.61
13,600,3179.0,1.2311,30.638
13,700,3188.0,1.2308,30.661
13,800,3195.0,1.2306,30.68
13,900,3201.0,1.2304,30.697
13,1000,3206.0,1.2302,30.712
13,1100,3211.0,1.23,30.725
13,1200,3215.0,1.2299,30.737
13,1300,3219.0,1.2298,30.748
13,1400,3222.0,1.2297,30.757
13,1500,3226.0,1.2295,30.766
14,100,3022.0,1.2371,30.33
14,200,3064.0,1.2357,30.444
14,300,3087.0,1.2349,30.506
14,400,3102.0,1.2344,30.548
14,500,3113.0,1.234,30.579
14,600,3122.0,1.2337,30.603
14,700,3130.0,1.2334,30.623
14,800,3136.0,1.2332,30.64
14,900,3141.0,1.2331,30.655
14,1000,3146.0,1.2329,30.668
14,1100,3150.0,1.2328,30.679
14,1200,3154.0,1.2326,30.689
14,1300,3157.0,1.2325,30.699
14,1400,3160.0,1.2324,30.707
14,1500,3163.0,1.2323,30.715
15,100,2979.0,1.2392,30.322
15,200,3017.0,1.2379,30.425
15,300,3038.0,1.2372,30.48
15,400,3051.0,1.2367,30.517
15,500,3062.0,1.2364,30.544
15,600,3069.0,1.2361,30.566
15,700,3076.0,1.2359,30.583
15,800,3081.0,1.2357,30.598
15,900,3086.0,1.2355,30.611
15,1000,3090.0,1.2354,30.622
15,1100,3094.0,1.2353,30.632
15,1200,3097.0,1.2352,30.641
15,1300,3100.0,1.2351,30.649
15,1400,3102.0,1.235,30.656
15,1500,3105.0,1.2349,30.663
